cohort_or_context	geneset_id	canonical_module_size	mapped_size	gene	gene_order	weight	role	hash_or_provenance
CANONICAL	M02_SCORE_V1	36	36	ABCA13	1	0.0277777777777778	primary canonical module	d4e34472243b0259650aca3123a5df7e767e9a408a409cef08861937f2360a30
CANONICAL	M02_SCORE_V1	36	36	AC016831.7	2	0.0277777777777778	primary canonical module	d4e34472243b0259650aca3123a5df7e767e9a408a409cef08861937f2360a30
CANONICAL	M02_SCORE_V1	36	36	ADAMTSL2	3	0.0277777777777778	primary canonical module	d4e34472243b0259650aca3123a5df7e767e9a408a409cef08861937f2360a30
CANONICAL	M02_SCORE_V1	36	36	AL022068.1	4	0.0277777777777778	primary canonical module	d4e34472243b0259650aca3123a5df7e767e9a408a409cef08861937f2360a30
CANONICAL	M02_SCORE_V1	36	36	AP001636.3	5	0.0277777777777778	primary canonical module	d4e34472243b0259650aca3123a5df7e767e9a408a409cef08861937f2360a30
CANONICAL	M02_SCORE_V1	36	36	APCDD1	6	0.0277777777777778	primary canonical module	d4e34472243b0259650aca3123a5df7e767e9a408a409cef08861937f2360a30
CANONICAL	M02_SCORE_V1	36	36	ARID3A	7	0.0277777777777778	primary canonical module	d4e34472243b0259650aca3123a5df7e767e9a408a409cef08861937f2360a30
CANONICAL	M02_SCORE_V1	36	36	ASCL2	8	0.0277777777777778	primary canonical module	d4e34472243b0259650aca3123a5df7e767e9a408a409cef08861937f2360a30
CANONICAL	M02_SCORE_V1	36	36	AXIN2	9	0.0277777777777778	primary canonical module	d4e34472243b0259650aca3123a5df7e767e9a408a409cef08861937f2360a30
CANONICAL	M02_SCORE_V1	36	36	BACE2	10	0.0277777777777778	primary canonical module	d4e34472243b0259650aca3123a5df7e767e9a408a409cef08861937f2360a30
CANONICAL	M02_SCORE_V1	36	36	CEMIP	11	0.0277777777777778	primary canonical module	d4e34472243b0259650aca3123a5df7e767e9a408a409cef08861937f2360a30
CANONICAL	M02_SCORE_V1	36	36	CTNNA2	12	0.0277777777777778	primary canonical module	d4e34472243b0259650aca3123a5df7e767e9a408a409cef08861937f2360a30
CANONICAL	M02_SCORE_V1	36	36	DACH1	13	0.0277777777777778	primary canonical module	d4e34472243b0259650aca3123a5df7e767e9a408a409cef08861937f2360a30
CANONICAL	M02_SCORE_V1	36	36	GALNT6	14	0.0277777777777778	primary canonical module	d4e34472243b0259650aca3123a5df7e767e9a408a409cef08861937f2360a30
CANONICAL	M02_SCORE_V1	36	36	GNGT1	15	0.0277777777777778	primary canonical module	d4e34472243b0259650aca3123a5df7e767e9a408a409cef08861937f2360a30
CANONICAL	M02_SCORE_V1	36	36	GRIN2B	16	0.0277777777777778	primary canonical module	d4e34472243b0259650aca3123a5df7e767e9a408a409cef08861937f2360a30
CANONICAL	M02_SCORE_V1	36	36	GRM8	17	0.0277777777777778	primary canonical module	d4e34472243b0259650aca3123a5df7e767e9a408a409cef08861937f2360a30
CANONICAL	M02_SCORE_V1	36	36	INPP5D	18	0.0277777777777778	primary canonical module	d4e34472243b0259650aca3123a5df7e767e9a408a409cef08861937f2360a30
CANONICAL	M02_SCORE_V1	36	36	ITGA9	19	0.0277777777777778	primary canonical module	d4e34472243b0259650aca3123a5df7e767e9a408a409cef08861937f2360a30
CANONICAL	M02_SCORE_V1	36	36	ITPR2	20	0.0277777777777778	primary canonical module	d4e34472243b0259650aca3123a5df7e767e9a408a409cef08861937f2360a30
CANONICAL	M02_SCORE_V1	36	36	KCTD16	21	0.0277777777777778	primary canonical module	d4e34472243b0259650aca3123a5df7e767e9a408a409cef08861937f2360a30
CANONICAL	M02_SCORE_V1	36	36	KLF7	22	0.0277777777777778	primary canonical module	d4e34472243b0259650aca3123a5df7e767e9a408a409cef08861937f2360a30
CANONICAL	M02_SCORE_V1	36	36	LINC01605	23	0.0277777777777778	primary canonical module	d4e34472243b0259650aca3123a5df7e767e9a408a409cef08861937f2360a30
CANONICAL	M02_SCORE_V1	36	36	LINC01748	24	0.0277777777777778	primary canonical module	d4e34472243b0259650aca3123a5df7e767e9a408a409cef08861937f2360a30
CANONICAL	M02_SCORE_V1	36	36	LMCD1-AS1	25	0.0277777777777778	primary canonical module	d4e34472243b0259650aca3123a5df7e767e9a408a409cef08861937f2360a30
