dataset_or_repository	accession_or_doi	asset_type	file_name	official_url	source_version	download_date	size_bytes	sha256	license	verification_status	source_manifest	release_note
GSE100179	GSE100179	processed_expression_matrix	GSE100179_2017-07-21-annotated-RMA-SKETCH.RMA-GENE-FULL-Group1.txt.gz	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE100179&format=file&file=GSE100179_2017-07-21-annotated-RMA-SKETCH.RMA-GENE-FULL-Group1.txt.gz	GEO_current_public_record	2026-07-24T21:09:58Z	24157585	5f354d8a379d504d8f2fb81e4e7582675506333cb69f7a2386440b54be037385	See official repository record	verified	metadata/file_manifest.tsv	Raw data not included in release candidate
GSE100179	GSE100179	raw_CEL_archive	GSE100179_RAW.tar	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE100179&format=file	GEO_current_public_record	2026-07-24T21:21:17Z	1603164160	5a51fb55e35593e2f6d5d85b7038fa9c72c8b388d01cfde3895e863f146bc164	See official repository record	verified	metadata/file_manifest.tsv	Raw data not included in release candidate
GSE100179	GSE100179	series_metadata	GSE100179_series_metadata.soft.txt	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE100179&targ=self&form=text&view=quick	GEO_current_public_record	2026-07-24T21:21:18Z	4500	d6e06039f8821c62b41d9709ec71102e91b578c45d4d86fdbc8863b496033b28	See official repository record	verified	metadata/file_manifest.tsv	Raw data not included in release candidate
GSE132465	GSE132465	cell_metadata	GSE132465_GEO_processed_CRC_10X_cell_annotation.txt.gz	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE132465&format=file&file=GSE132465_GEO_processed_CRC_10X_cell_annotation.txt.gz	GEO_current_public_record	2026-07-24T21:21:21Z	434022	4bf2ebdadc88da53b0c46e654a6576e841925addc25c981d7cdbc0d988b4677c	See official repository record	verified	metadata/file_manifest.tsv	Raw data not included in release candidate
GSE132465	GSE132465	processed_raw_UMI_count_matrix	GSE132465_GEO_processed_CRC_10X_raw_UMI_count_matrix.txt.gz	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSE132465&format=file&file=GSE132465_GEO_processed_CRC_10X_raw_UMI_count_matrix.txt.gz	GEO_current_public_record	2026-07-24T21:22:19Z	128941455	deff856c7fe1d2c845af5b31e1c65a1dd95ea29541772a66c89bda3aaa8c0666	See official repository record	verified	metadata/file_manifest.tsv	Raw data not included in release candidate
GSE132465	GSE132465	series_metadata	GSE132465_series_metadata.soft.txt	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE132465&targ=self&form=text&view=quick	GEO_current_public_record	2026-07-24T21:22:21Z	3838	4fa5c96bca126d97aa7c8f725390476b1998d93be281a17b03d392efc8b50bc3	See official repository record	verified	metadata/file_manifest.tsv	Raw data not included in release candidate
GSE161277	GSE161277	series_metadata	GSE161277_series_metadata.soft.txt	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE161277&targ=self&form=text&view=quick	GEO_current_public_record	2026-07-24T21:22:23Z	2341	0a76ad10ac778f8915af2e07e7a76b34195aa54a2f2b7549ec00a55a9e2d7e89	See official repository record	verified	metadata/file_manifest.tsv	Raw data not included in release candidate
GSE161277	GSE161277	processed_count_or_feature_matrix	GSM4904234_Patient0_carcinoma_barcodes.tsv.gz	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM4904234&format=file&file=GSM4904234%5FPatient0%5Fcarcinoma%5Fbarcodes%2Etsv%2Egz	GEO_current_public_record	2026-07-24T21:22:25Z	15621	5c0b93e4346d5a0903fa310af45132929f2718e36c73680d65e434e5ba8d460b	See official repository record	verified	metadata/file_manifest.tsv	Raw data not included in release candidate
GSE161277	GSE161277	processed_count_or_feature_matrix	GSM4904234_Patient0_carcinoma_features.tsv.gz	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM4904234&format=file&file=GSM4904234%5FPatient0%5Fcarcinoma%5Ffeatures%2Etsv%2Egz	GEO_current_public_record	2026-07-24T21:22:28Z	304728	0779f16f0d6cf0cd8d03b8a94f67a63251def0d6741370914651af6e049734bb	See official repository record	verified	metadata/file_manifest.tsv	Raw data not included in release candidate
GSE161277	GSE161277	processed_count_or_feature_matrix	GSM4904234_Patient0_carcinoma_matrix.mtx.gz	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM4904234&format=file&file=GSM4904234%5FPatient0%5Fcarcinoma%5Fmatrix%2Emtx%2Egz	GEO_current_public_record	2026-07-24T21:22:38Z	19218032	52f100d6f1d438b3bd3cb3b8f6e461edd9a379eac8203a36313538bc196d1f8e	See official repository record	verified	metadata/file_manifest.tsv	Raw data not included in release candidate
