cohort_or_context	canonical_gene	gene_order	mapping_status	mapped_feature	mapping_source	cohort_common	notes
CANONICAL_M02	ABCA13	1	canonical_identity	ABCA13	STAGE10C_LOCK_MANIFEST.tsv	TRUE	weight=0.0277777777777778; bundle=d4e34472243b0259650aca3123a5df7e767e9a408a409cef08861937f2360a30
CANONICAL_M02	AC016831.7	2	canonical_identity	AC016831.7	STAGE10C_LOCK_MANIFEST.tsv	TRUE	weight=0.0277777777777778; bundle=d4e34472243b0259650aca3123a5df7e767e9a408a409cef08861937f2360a30
CANONICAL_M02	ADAMTSL2	3	canonical_identity	ADAMTSL2	STAGE10C_LOCK_MANIFEST.tsv	TRUE	weight=0.0277777777777778; bundle=d4e34472243b0259650aca3123a5df7e767e9a408a409cef08861937f2360a30
CANONICAL_M02	AL022068.1	4	canonical_identity	AL022068.1	STAGE10C_LOCK_MANIFEST.tsv	TRUE	weight=0.0277777777777778; bundle=d4e34472243b0259650aca3123a5df7e767e9a408a409cef08861937f2360a30
CANONICAL_M02	AP001636.3	5	canonical_identity	AP001636.3	STAGE10C_LOCK_MANIFEST.tsv	TRUE	weight=0.0277777777777778; bundle=d4e34472243b0259650aca3123a5df7e767e9a408a409cef08861937f2360a30
CANONICAL_M02	APCDD1	6	canonical_identity	APCDD1	STAGE10C_LOCK_MANIFEST.tsv	TRUE	weight=0.0277777777777778; bundle=d4e34472243b0259650aca3123a5df7e767e9a408a409cef08861937f2360a30
CANONICAL_M02	ARID3A	7	canonical_identity	ARID3A	STAGE10C_LOCK_MANIFEST.tsv	TRUE	weight=0.0277777777777778; bundle=d4e34472243b0259650aca3123a5df7e767e9a408a409cef08861937f2360a30
CANONICAL_M02	ASCL2	8	canonical_identity	ASCL2	STAGE10C_LOCK_MANIFEST.tsv	TRUE	weight=0.0277777777777778; bundle=d4e34472243b0259650aca3123a5df7e767e9a408a409cef08861937f2360a30
CANONICAL_M02	AXIN2	9	canonical_identity	AXIN2	STAGE10C_LOCK_MANIFEST.tsv	TRUE	weight=0.0277777777777778; bundle=d4e34472243b0259650aca3123a5df7e767e9a408a409cef08861937f2360a30
CANONICAL_M02	BACE2	10	canonical_identity	BACE2	STAGE10C_LOCK_MANIFEST.tsv	TRUE	weight=0.0277777777777778; bundle=d4e34472243b0259650aca3123a5df7e767e9a408a409cef08861937f2360a30
