script_id	stage	analysis_role	original_path	release_path	original_sha256	release_sha256	direct_literal_inputs	stage_scoped_outputs	stage_scoped_figures	claim_ids	private_paths_sanitized_in_release_copy	mapping_basis
F0392	Project	main_or_supporting	scripts/04_download_public_data.sh	scripts/04_download_public_data.sh	c53ee7bc2466dff6cff083a0fba6885ab23931d3754e07c6eb8bb85ed1318fb7	f0858a167ffc2d05d4dcfa44c6836ba34981c554a55d9cacc71334740fd14332	STATUS.md;metadata/download_plan.tsv;metadata/file_manifest.tsv;reports/stage_4B_download_integrity.md	AGENTS.md;PROJECT_CONSTITUTION.md;SERVER_EXECUTION_CONTRACT.md;STAGE10_PROTOCOL_ADDENDUM.md;STATUS.md;config/.gitkeep;config/annotation_parameters.tsv;config/epithelial_cluster_annotation.tsv;config/major_cluster_annotation.tsv;config/qc_parameters.tsv;config/stage10B_download_sources.tsv;config/stool_test_operating_points.tsv;data/metadata/spatial_patient_slide_roi_manifest.tsv;figures_final/.gitkeep;logs_summary/.gitkeep;manuscript_freeze/FIGURE_BLUEPRINT.md;manuscript_freeze/FINAL_CLAIM_LIST.tsv;manuscript_freeze/SECTION_EVIDENCE_MAP.tsv;manuscript_freeze/SUPPLEMENT_BLUEPRINT.md;manuscript_freeze/TABLE_BLUEPRINT.md;modules_locked.tsv;modules_locked.tsv.sha256;reports/stage10A_GATE_DECISION.md;reports/stage10A_SUMMARY.md;result_registry.tsv;results/05B_full_qc_integration/biological_sample_cell_summary.tsv;results/05B_full_qc_integration/donor_cell_qc_summary.tsv;results/05B_full_qc_integration/embedding_variance_audit.tsv;results/05B_full_qc_integration/leave_one_donor_out_folds.tsv;results/05B_full_qc_integration/library_depth_risk_audit.tsv;results/05B_full_qc_integration/library_qc_summary.tsv;results/05B_full_qc_integration/neighbor_mixing_audit.tsv;results/05B_full_qc_integration/object_manifest.tsv;results/05B_full_qc_integration/original_qc_threshold_comparison.tsv;results/05B_full_qc_integration/overcorrection_guard.tsv;results/05B_full_qc_integration/pre_post_distribution_audit.tsv;results/05B_full_qc_integration/validation_checks.tsv;results/05C_annotation/epithelial_cluster_composition.tsv;results/05C_annotation/epithelial_cluster_markers.tsv.gz;results/05C_annotation/epithelial_cluster_review_blinded.tsv	NA	NA	TRUE	Direct basename literals where detectable; otherwise frozen-manifest stage scope. Original frozen SHA retained.
F0393	Stage5A	sensitivity_or_validation	scripts/05A_qc_pilot.R	scripts/05A_qc_pilot.R	c3e056a4ba9cf9b9f22eff09170658086ac4c4c70cd0592078275c8683e46803	c3e056a4ba9cf9b9f22eff09170658086ac4c4c70cd0592078275c8683e46803	See stage-scoped inputs and script source	reports/stage_5A_qc_pilot.md	NA	NA	FALSE	Direct basename literals where detectable; otherwise frozen-manifest stage scope. Original frozen SHA retained.
F0394	Stage5B	sensitivity_or_validation	scripts/05B_audit_depth_risk.R	scripts/05B_audit_depth_risk.R	cf0c244d35a38b8a4640646d4a7ee47a7f29092d06740c72d1a0753ce156c286	cf0c244d35a38b8a4640646d4a7ee47a7f29092d06740c72d1a0753ce156c286	results/05B_full_qc_integration/library_depth_risk_audit.tsv;results/05B_full_qc_integration/original_qc_threshold_comparison.tsv	reports/stage_5B_full_qc_integration.md;results/05B_qc_threshold_preflight.tsv	NA	NA	FALSE	Direct basename literals where detectable; otherwise frozen-manifest stage scope. Original frozen SHA retained.
F0395	Stage5B	sensitivity_or_validation	scripts/05B_full_qc_integration.R	scripts/05B_full_qc_integration.R	179c1bc1b4bbdc51ab32e855745972b46ad3d318a6f8fdddf003089577493613	179c1bc1b4bbdc51ab32e855745972b46ad3d318a6f8fdddf003089577493613	config/qc_parameters.tsv;metadata/dataset_manifest.tsv;results/05B_full_qc_integration/biological_sample_cell_summary.tsv;results/05B_full_qc_integration/donor_cell_qc_summary.tsv;results/05B_full_qc_integration/embedding_variance_audit.tsv;results/05B_full_qc_integration/leave_one_donor_out_folds.tsv;results/05B_full_qc_integration/library_qc_summary.tsv;results/05B_full_qc_integration/neighbor_mixing_audit.tsv;results/05B_full_qc_integration/object_manifest.tsv;results/05B_full_qc_integration/overcorrection_guard.tsv;results/05B_full_qc_integration/pre_post_distribution_audit.tsv	reports/stage_5B_full_qc_integration.md;results/05B_qc_threshold_preflight.tsv	NA	NA	FALSE	Direct basename literals where detectable; otherwise frozen-manifest stage scope. Original frozen SHA retained.
F0396	Stage5B	sensitivity_or_validation	scripts/05B_qc_threshold_preflight.R	scripts/05B_qc_threshold_preflight.R	1c29924a760cf1bdb49ee8af52189ca31087588ee9e2da87f499a0dc3e54026c	1c29924a760cf1bdb49ee8af52189ca31087588ee9e2da87f499a0dc3e54026c	config/qc_parameters.tsv;metadata/dataset_manifest.tsv;results/05B_qc_threshold_preflight.tsv	reports/stage_5B_full_qc_integration.md;results/05B_qc_threshold_preflight.tsv	NA	NA	FALSE	Direct basename literals where detectable; otherwise frozen-manifest stage scope. Original frozen SHA retained.
F0397	Stage5B	main_or_supporting	scripts/05B_resume_postprocess.R	scripts/05B_resume_postprocess.R	67a0b620c0274f5ec46831a9a1c6d538eb0a8e17b46a417a4cf9c238c1d3ef6a	67a0b620c0274f5ec46831a9a1c6d538eb0a8e17b46a417a4cf9c238c1d3ef6a	config/qc_parameters.tsv;results/05B_full_qc_integration/biological_sample_cell_summary.tsv;results/05B_full_qc_integration/donor_cell_qc_summary.tsv;results/05B_full_qc_integration/embedding_variance_audit.tsv;results/05B_full_qc_integration/leave_one_donor_out_folds.tsv;results/05B_full_qc_integration/library_qc_summary.tsv;results/05B_full_qc_integration/neighbor_mixing_audit.tsv;results/05B_full_qc_integration/object_manifest.tsv;results/05B_full_qc_integration/overcorrection_guard.tsv;results/05B_full_qc_integration/pre_post_distribution_audit.tsv	reports/stage_5B_full_qc_integration.md;results/05B_qc_threshold_preflight.tsv	NA	NA	FALSE	Direct basename literals where detectable; otherwise frozen-manifest stage scope. Original frozen SHA retained.
F0398	Stage5B	main_or_supporting	scripts/05B_run_revised.sh	scripts/05B_run_revised.sh	39a53c58b7c0d5ca2f226c154741ef55771f33bad4123d42924203f03ddfb3b8	39a53c58b7c0d5ca2f226c154741ef55771f33bad4123d42924203f03ddfb3b8	scripts/05B_full_qc_integration.R	reports/stage_5B_full_qc_integration.md;results/05B_qc_threshold_preflight.tsv	NA	NA	FALSE	Direct basename literals where detectable; otherwise frozen-manifest stage scope. Original frozen SHA retained.
F0399	Stage5B	sensitivity_or_validation	scripts/05B_validate_outputs.R	scripts/05B_validate_outputs.R	32887997e432f8a5ac52efcf57a669cc8623408bf648766ebbee46f4c9c99e14	32887997e432f8a5ac52efcf57a669cc8623408bf648766ebbee46f4c9c99e14	results/05B_full_qc_integration/library_qc_summary.tsv;results/05B_full_qc_integration/validation_checks.tsv	reports/stage_5B_full_qc_integration.md;results/05B_qc_threshold_preflight.tsv	NA	NA	FALSE	Direct basename literals where detectable; otherwise frozen-manifest stage scope. Original frozen SHA retained.
F0400	Stage5C	main_or_supporting	scripts/05C_apply_major_epithelial_discovery.R	scripts/05C_apply_major_epithelial_discovery.R	b75f158cfe5b925389f7a1832ca98c044b60abadd38ada6a628be19ee3c6e497	b75f158cfe5b925389f7a1832ca98c044b60abadd38ada6a628be19ee3c6e497	config/annotation_parameters.tsv;config/major_cluster_annotation.tsv;metadata/annotation_evidence.tsv;results/05C_annotation/epithelial_cluster_composition.tsv;results/05C_annotation/epithelial_cluster_markers.tsv.gz;results/05C_annotation/epithelial_cluster_review_blinded.tsv;results/05C_annotation/epithelial_signature_scores.tsv;results/05C_annotation/source_data/epithelial_marker_dotplot_source.tsv.gz;results/05C_annotation/source_data/epithelial_umap_source.tsv.gz	reports/stage_5C_annotation.md	NA	NA	FALSE	Direct basename literals where detectable; otherwise frozen-manifest stage scope. Original frozen SHA retained.
F0401	Stage5C	sensitivity_or_validation	scripts/05C_audit_epithelial_integration.R	scripts/05C_audit_epithelial_integration.R	13e0063e35a85dc45be728d3960ebc944707f0b7f6f5200e23a7d28fd3dd2d5b	13e0063e35a85dc45be728d3960ebc944707f0b7f6f5200e23a7d28fd3dd2d5b	config/annotation_parameters.tsv	reports/stage_5C_annotation.md	NA	NA	FALSE	Direct basename literals where detectable; otherwise frozen-manifest stage scope. Original frozen SHA retained.
