section	source_file	source_sha256	claim_id	parent_claim_id	frozen_claim	evidence_level	dataset_or_branch	patients_or_units	independence	statistical_unit	frozen_numeric_or_status	abstract	main_text	supplement	planned_display	source_data	generating_script	mandatory_qualifier	prohibited_expansion	freeze_status	evidence_id	stage	dataset	patients_n	lesion_type	genetic_background	paired	inferential_unit	canonical_module_size	actual_mapped_genes	primary_result_status	descriptive_result	ci_p_fdr_available	limitations	strongest_allowed_statement	manuscript_placement	source_files
claims	manuscript_freeze/FINAL_CLAIM_LIST_V2.tsv	3742d5738c50afbcc2249ba71e449ccc5c90bb7bd5830c4fa4636ba7ca04d81c	FC01	CLM03;CLM14	The prespecified normal-to-adenoma gene-level analysis was negative.	PRIMARY_NEGATIVE	GSE201348	14 donors overall; state contrasts used 6 normal and 8-9 adenoma donors	Discovery cohort	Donor-level pseudobulk	Zero genes at FDR<0.05 in each of four eligible epithelial states; minimum FDRs 0.08665, 0.05188, 0.06252 and 0.05344	YES	Results R1	YES	Figure 2; Table 2; Figure S2; Table S2	logs_summary/stage_6A_candidate_attrition_audit.tsv;${CRC_PROJECT_ROOT}/results/06A_pseudobulk/pseudobulk_results.tsv	scripts/06A_pseudobulk_discovery.R	This is the opening result; the four states had different eligible donor counts.	Discovery of a significant early program; threshold relaxation	FROZEN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
claims	manuscript_freeze/FINAL_CLAIM_LIST_V2.tsv	3742d5738c50afbcc2249ba71e449ccc5c90bb7bd5830c4fa4636ba7ca04d81c	FC02	CLM12;CLM15	M02 was formed after the negative primary analysis and then prospectively locked for boundary testing.	EXPLORATORY_POST_HOC_LOCK	GSE201348	NA	Internal post-hoc construction before external evaluation	NA	36 genes; M02_SCORE_V1; primary bundle d4e34472243b0259650aca3123a5df7e767e9a408a409cef08861937f2360a30	YES_METHOD	Results R2	YES	Figures 1-2; Table 1 (research role and chronology only); Figure S3; Table S3	results/stage10c/STAGE10C_LOCK_MANIFEST.tsv;results_final/stage_6A_stage_blind_module_membership.tsv	scripts/06A_amendment_exploratory.R;scripts/10C_fap_confounding.R	Always label M02 post-hoc, exploratory and FAP/adenoma-associated.	Prespecified M02; CRC initiation signature	FROZEN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
claims	manuscript_freeze/FINAL_CLAIM_LIST_V2.tsv	3742d5738c50afbcc2249ba71e449ccc5c90bb7bd5830c4fa4636ba7ca04d81c	FC03	CLM04;CLM16	All-epithelial M02 showed trend-level internal FAP/adenoma-associated evidence.	LEVEL_C_INTERNAL_EXPLORATORY	GSE201348	4 paired FAP donors	Same discovery cohort; no independent-cohort credit	Donor paired difference	Effect 1.27648; 95% CI 0.24335 to 2.30961; P=0.02929; FDR=0.05858	YES_WITH_LIMIT	Results R3	YES	Figure 3; Table 2; Figure S3; Table S4	${CRC_PROJECT_ROOT}/results/10C_fap_confounding/20260731_110021/GSE201348_module_donor_effects.tsv;${CRC_PROJECT_ROOT}/results/10C_fap_confounding/20260731_110021/stage10C_locked_module_results.tsv	scripts/10C_fap_confounding.R	Trend-level only because the six-module family FDR exceeds 0.05; n=4.	Independent support; general sporadic effect; validated	FROZEN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
claims	manuscript_freeze/FINAL_CLAIM_LIST_V2.tsv	3742d5738c50afbcc2249ba71e449ccc5c90bb7bd5830c4fa4636ba7ca04d81c	FC04	CLM04;CLM16	Stem/progenitor M02 showed borderline exploratory support in four paired FAP patients.	LEVEL_C_INTERNAL_EXPLORATORY	GSE201348	4 paired FAP donors	Same discovery cohort; no independent-cohort credit	Donor paired difference	Effect 0.77850; 95% CI 0.06567 to 1.49132; P=0.04018; FDR=0.04822	YES_WITH_LIMIT	Results R3	YES	Figure 3; Table 2; Figure S3; Table S4	${CRC_PROJECT_ROOT}/results/10C_fap_confounding/20260731_110021/GSE201348_module_donor_effects.tsv;${CRC_PROJECT_ROOT}/results/10C_fap_confounding/20260731_110021/stage10C_locked_module_results.tsv	scripts/10C_fap_confounding.R	Borderline exploratory evidence from n=4; LODO direction is sensitivity, not extra replication.	Validated stem-cell program; mechanism	FROZEN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
claims	manuscript_freeze/FINAL_CLAIM_LIST_V2.tsv	3742d5738c50afbcc2249ba71e449ccc5c90bb7bd5830c4fa4636ba7ca04d81c	FC05	CLM05;CLM17	GSE161277 showed directional but underpowered M02 evidence.	LEVEL_C_INDEPENDENT_DIRECTIONAL	GSE161277	3 matched patients	One independent early-lesion cohort; counted once	Donor paired difference	Effect 1.64533; 95% CI 0.59241 to 2.69826; P=0.02141; FDR=0.12848; 3/3 positive	YES_WITH_LIMIT	Results R4	YES	Figure 4; Table 2; Figure S4; Table S5	results_final/stage_7_paired_donor_module_differences.tsv;results_final/stage_7_replication_effects_all.tsv	scripts/07_run_replication_models.R	One cohort, three patients, FDR 0.128; do not count Stage 7 and Stage 10C separately.	Replicated; confirmed; multi-cohort support	FROZEN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
claims	manuscript_freeze/FINAL_CLAIM_LIST_V2.tsv	3742d5738c50afbcc2249ba71e449ccc5c90bb7bd5830c4fa4636ba7ca04d81c	FC06	CLM18	The primary 36/36 Figshare LST-G analysis was not estimable; positive observations were sensitivity-only.	SUPPLEMENTARY_DIRECTIONAL_SENSITIVITY	Figshare 29925404	7 patients total; 2 matched same-site donors	One LST-G sensitivity cohort; hereditary status unknown	Patient matched descriptive effect	Primary NOT_ESTIMABLE because 3 genes were absent; 29/36, 35-gene, gene-z and UCell effects were positive in P1 and P5	NO	NO	YES	Figure S6; Table S8	results/stage10c3/STAGE10C3_MATCHED_PAIR_EFFECTS.tsv;results/stage10c3/STAGE10C3_SENSITIVITY.tsv	scripts/10C3_score_locked_m02.R;scripts/10C3_finalize_outputs.R	Primary NOT_ESTIMABLE must precede sensitivities; LST-G is not ordinary sporadic adenoma.	Validation; confirmatory evidence; population inference	FROZEN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
claims	manuscript_freeze/FINAL_CLAIM_LIST_V2.tsv	3742d5738c50afbcc2249ba71e449ccc5c90bb7bd5830c4fa4636ba7ca04d81c	FC07	CLM06;CLM19	M02 bulk expression was higher in adenoma than normal in GSE41657.	EXPLORATORY_BULK_ASSOCIATION	GSE41657	Patient identity not verifiable; 63 sample-scoped arrays in primary contrast	Independent accession; biological independence unresolved	Array/sample-scoped unit	Effect 2.42013; 95% CI 2.21475 to 2.62551; FDR 1.49e-31	NO	Results R5	YES	Figure 1 (dataset-role panel); Figure 4 (bulk panel); Table 1; Table 2; Figure S5; Table S6	results_final/stage_8B_bulk_validation_summary.tsv;figures_final/stage_8B_early_transition_forest_source_data.tsv	scripts/08B_bulk_cohorts.R	Do not relabel sample arrays as verified patients; bulk tissue is not epithelial-specific.	Patient-level replication; universal progression	FROZEN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
claims	manuscript_freeze/FINAL_CLAIM_LIST_V2.tsv	3742d5738c50afbcc2249ba71e449ccc5c90bb7bd5830c4fa4636ba7ca04d81c	FC08	CLM06;CLM19	M02 bulk expression was higher in adenoma than normal in GSE100179.	EXPLORATORY_BULK_ASSOCIATION	GSE100179	Patient identity not verifiable; 40 sample-scoped arrays in primary contrast	Independent accession; biological independence unresolved	Array/sample-scoped unit	Effect 2.07979; 95% CI 1.83231 to 2.32727; FDR 1.38e-18	NO	Results R5	YES	Figure 1 (dataset-role panel); Figure 4 (bulk panel); Table 1; Table 2; Figure S5; Table S6	results_final/stage_8B_bulk_validation_summary.tsv;figures_final/stage_8B_early_transition_forest_source_data.tsv	scripts/08B_bulk_cohorts.R	Do not relabel sample arrays as verified patients; bulk tissue is not epithelial-specific.	Patient-level replication; universal progression	FROZEN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
claims	manuscript_freeze/FINAL_CLAIM_LIST_V2.tsv	3742d5738c50afbcc2249ba71e449ccc5c90bb7bd5830c4fa4636ba7ca04d81c	FC09	CLM06;CLM19	M02 bulk expression was higher in adenoma than matched normal tissue in GSE8671.	EXPLORATORY_PAIRED_BULK_ASSOCIATION	GSE8671	32 verified matched patients	Independent bulk accession	Patient pair	Effect 1.84596; 95% CI 1.66601 to 2.02591; FDR 4.59e-19	YES_WITH_BULK_QUALIFIER	Results R5	YES	Figure 1 (dataset-role panel); Figure 4 (bulk panel); Table 1; Table 2; Figure S5; Table S6	results_final/stage_8B_bulk_validation_summary.tsv;figures_final/stage_8B_early_transition_forest_source_data.tsv	scripts/08B_bulk_cohorts.R	Bulk tissue is not epithelial-specific and hereditary background is unresolved.	Cell-specific validation; sporadic generalization	FROZEN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
claims	manuscript_freeze/FINAL_CLAIM_LIST_V2.tsv	3742d5738c50afbcc2249ba71e449ccc5c90bb7bd5830c4fa4636ba7ca04d81c	FC10	CLM06;CLM19	Across three separately analyzed bulk cohorts, M02 was adenoma-associated with substantial heterogeneity.	LEVEL_C_BULK_META_ASSOCIATION	GSE41657;GSE100179;GSE8671	3 accession-level effects; 32 verified pairs plus 148 sample-scoped arrays; no pooled patient total	Three accessions, each counted once	Cohort-level random-effects meta-analysis	Pooled effect 2.11288; 95% CI 1.38880 to 2.83696; P=0.00628; FDR=0.03770; I2=87.61%	YES_WITH_HETEROGENEITY	Results R5	YES	Figure 4; Table 2; Figure S5; Table S6	results_final/stage_8B_meta_analysis_results.tsv;figures_final/stage_8B_early_transition_forest_source_data.tsv	scripts/08B_meta_gate_report.R	Report accession-specific effects first, I2, and unresolved patient identity in two cohorts.	Consistent validation; pooled patient analysis	FROZEN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
