section	source_file	source_sha256	epithelial_state	genes_tested	min_p_adenoma_vs_normal	min_FDR_adenoma_vs_normal	adenoma_vs_normal_nominal_p_0_05	adenoma_vs_normal_FDR	adenoma_vs_normal_FDR_0_10	plus_abs_log2FC	plus_cancer_vs_normal_same_direction	plus_cancer_vs_normal_sustained_magnitude	plus_cancer_vs_adenoma_nonopposing_or_plateau	cancer_vs_adenoma_FDR	cancer_vs_normal_FDR	lock_version	module_id	gene	gene_order	canonical_weight	locked_direction	score_version	primary_score_formula	historical_gse161277_score	allowed_sensitivity_score_range	primary_min_mapped_genes	sensitivity_min_mapped_genes	source_candidate_sha256	source_membership_sha256	source_modules_locked_sha256	gene_set_sha256	weighted_signature_sha256	scoring_spec_sha256	bundle_sha256
candidate_attrition	logs_summary/stage_6A_candidate_attrition_audit.tsv	659b54ac28a4d9055ebfdad196d96c5073458c154cdfe99e54c5590752d8dbfa	Absorptive	15472	7.16769955847022e-06	0.0866462872804574	2850	0	79	0	0	0	0	548	2958	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
candidate_attrition	logs_summary/stage_6A_candidate_attrition_audit.tsv	659b54ac28a4d9055ebfdad196d96c5073458c154cdfe99e54c5590752d8dbfa	Adenoma_like	4263	1.43761760743896e-05	0.0518820132803754	395	0	7	0	0	0	0	203	654	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
candidate_attrition	logs_summary/stage_6A_candidate_attrition_audit.tsv	659b54ac28a4d9055ebfdad196d96c5073458c154cdfe99e54c5590752d8dbfa	Cycling	12284	1.09755838730537e-05	0.0625182128621484	1973	0	16	0	0	0	0	469	2574	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
candidate_attrition	logs_summary/stage_6A_candidate_attrition_audit.tsv	659b54ac28a4d9055ebfdad196d96c5073458c154cdfe99e54c5590752d8dbfa	Stem_progenitor	13285	9.48832320403311e-06	0.0534421054940975	2214	0	134	0	0	0	0	1232	3321	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
module_lock	results/stage10c/STAGE10C_LOCK_MANIFEST.tsv	0c0ef24f027b0840aa7c174ea3d7933f9a1890f2eef7aeb0e080456add470e05	Stem_progenitor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M02_LOCK_V1_20260731	Stem_progenitor_SB_M02	ABCA13	1	0.0277777777777778	lesion_minus_normal_positive	M02_SCORE_V1	equal_weight_mean_TMM_log2CPM_prior2	equal_weight_mean_gene_z_TMM_log2CPM_prior2	equal_weight_gene_z_or_UCell_only	22	29	d30d1127bb319b18684b2b77fdafea87847494813dc80cda7f3d33a406774d18	bd99f958cd3d236854a441039a9b7212d02d4fb8f7a6795552aba4c651e9b24c	bfafb5890927a951d33a68aab1508cf35a7b995ad4906e7b7229ba22bdf9aec2	102117a11069219d9248c00e0a333b2545624bd682593deb37e7e6a239531307	2074853b94c6969cbfc18e4e7d2849b323af6d134d790d35e83f7c08cf216d8e	c8f7aa3921481c8ed5a2f156f2c7c4c70f0d92be0feda85113e04cadbcd96a1f	d4e34472243b0259650aca3123a5df7e767e9a408a409cef08861937f2360a30
module_lock	results/stage10c/STAGE10C_LOCK_MANIFEST.tsv	0c0ef24f027b0840aa7c174ea3d7933f9a1890f2eef7aeb0e080456add470e05	Stem_progenitor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M02_LOCK_V1_20260731	Stem_progenitor_SB_M02	AC016831.7	2	0.0277777777777778	lesion_minus_normal_positive	M02_SCORE_V1	equal_weight_mean_TMM_log2CPM_prior2	equal_weight_mean_gene_z_TMM_log2CPM_prior2	equal_weight_gene_z_or_UCell_only	22	29	d30d1127bb319b18684b2b77fdafea87847494813dc80cda7f3d33a406774d18	bd99f958cd3d236854a441039a9b7212d02d4fb8f7a6795552aba4c651e9b24c	bfafb5890927a951d33a68aab1508cf35a7b995ad4906e7b7229ba22bdf9aec2	102117a11069219d9248c00e0a333b2545624bd682593deb37e7e6a239531307	2074853b94c6969cbfc18e4e7d2849b323af6d134d790d35e83f7c08cf216d8e	c8f7aa3921481c8ed5a2f156f2c7c4c70f0d92be0feda85113e04cadbcd96a1f	d4e34472243b0259650aca3123a5df7e767e9a408a409cef08861937f2360a30
module_lock	results/stage10c/STAGE10C_LOCK_MANIFEST.tsv	0c0ef24f027b0840aa7c174ea3d7933f9a1890f2eef7aeb0e080456add470e05	Stem_progenitor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M02_LOCK_V1_20260731	Stem_progenitor_SB_M02	ADAMTSL2	3	0.0277777777777778	lesion_minus_normal_positive	M02_SCORE_V1	equal_weight_mean_TMM_log2CPM_prior2	equal_weight_mean_gene_z_TMM_log2CPM_prior2	equal_weight_gene_z_or_UCell_only	22	29	d30d1127bb319b18684b2b77fdafea87847494813dc80cda7f3d33a406774d18	bd99f958cd3d236854a441039a9b7212d02d4fb8f7a6795552aba4c651e9b24c	bfafb5890927a951d33a68aab1508cf35a7b995ad4906e7b7229ba22bdf9aec2	102117a11069219d9248c00e0a333b2545624bd682593deb37e7e6a239531307	2074853b94c6969cbfc18e4e7d2849b323af6d134d790d35e83f7c08cf216d8e	c8f7aa3921481c8ed5a2f156f2c7c4c70f0d92be0feda85113e04cadbcd96a1f	d4e34472243b0259650aca3123a5df7e767e9a408a409cef08861937f2360a30
module_lock	results/stage10c/STAGE10C_LOCK_MANIFEST.tsv	0c0ef24f027b0840aa7c174ea3d7933f9a1890f2eef7aeb0e080456add470e05	Stem_progenitor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M02_LOCK_V1_20260731	Stem_progenitor_SB_M02	AL022068.1	4	0.0277777777777778	lesion_minus_normal_positive	M02_SCORE_V1	equal_weight_mean_TMM_log2CPM_prior2	equal_weight_mean_gene_z_TMM_log2CPM_prior2	equal_weight_gene_z_or_UCell_only	22	29	d30d1127bb319b18684b2b77fdafea87847494813dc80cda7f3d33a406774d18	bd99f958cd3d236854a441039a9b7212d02d4fb8f7a6795552aba4c651e9b24c	bfafb5890927a951d33a68aab1508cf35a7b995ad4906e7b7229ba22bdf9aec2	102117a11069219d9248c00e0a333b2545624bd682593deb37e7e6a239531307	2074853b94c6969cbfc18e4e7d2849b323af6d134d790d35e83f7c08cf216d8e	c8f7aa3921481c8ed5a2f156f2c7c4c70f0d92be0feda85113e04cadbcd96a1f	d4e34472243b0259650aca3123a5df7e767e9a408a409cef08861937f2360a30
module_lock	results/stage10c/STAGE10C_LOCK_MANIFEST.tsv	0c0ef24f027b0840aa7c174ea3d7933f9a1890f2eef7aeb0e080456add470e05	Stem_progenitor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M02_LOCK_V1_20260731	Stem_progenitor_SB_M02	AP001636.3	5	0.0277777777777778	lesion_minus_normal_positive	M02_SCORE_V1	equal_weight_mean_TMM_log2CPM_prior2	equal_weight_mean_gene_z_TMM_log2CPM_prior2	equal_weight_gene_z_or_UCell_only	22	29	d30d1127bb319b18684b2b77fdafea87847494813dc80cda7f3d33a406774d18	bd99f958cd3d236854a441039a9b7212d02d4fb8f7a6795552aba4c651e9b24c	bfafb5890927a951d33a68aab1508cf35a7b995ad4906e7b7229ba22bdf9aec2	102117a11069219d9248c00e0a333b2545624bd682593deb37e7e6a239531307	2074853b94c6969cbfc18e4e7d2849b323af6d134d790d35e83f7c08cf216d8e	c8f7aa3921481c8ed5a2f156f2c7c4c70f0d92be0feda85113e04cadbcd96a1f	d4e34472243b0259650aca3123a5df7e767e9a408a409cef08861937f2360a30
module_lock	results/stage10c/STAGE10C_LOCK_MANIFEST.tsv	0c0ef24f027b0840aa7c174ea3d7933f9a1890f2eef7aeb0e080456add470e05	Stem_progenitor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M02_LOCK_V1_20260731	Stem_progenitor_SB_M02	APCDD1	6	0.0277777777777778	lesion_minus_normal_positive	M02_SCORE_V1	equal_weight_mean_TMM_log2CPM_prior2	equal_weight_mean_gene_z_TMM_log2CPM_prior2	equal_weight_gene_z_or_UCell_only	22	29	d30d1127bb319b18684b2b77fdafea87847494813dc80cda7f3d33a406774d18	bd99f958cd3d236854a441039a9b7212d02d4fb8f7a6795552aba4c651e9b24c	bfafb5890927a951d33a68aab1508cf35a7b995ad4906e7b7229ba22bdf9aec2	102117a11069219d9248c00e0a333b2545624bd682593deb37e7e6a239531307	2074853b94c6969cbfc18e4e7d2849b323af6d134d790d35e83f7c08cf216d8e	c8f7aa3921481c8ed5a2f156f2c7c4c70f0d92be0feda85113e04cadbcd96a1f	d4e34472243b0259650aca3123a5df7e767e9a408a409cef08861937f2360a30
