section	source_file	source_sha256	level	annotation	positive_markers	exclusion_markers	primary_interpretation	auxiliary_source	decision_rule	cluster	variable	N	fraction
annotation_evidence	metadata/annotation_evidence.tsv	3d3e0a77dba1d9576a28474f662787a3b56c66a6f3a1f51a891aaf6910e82ada	major	Epithelial	EPCAM;KRT8;KRT18;KRT19;KRT20;ELF3;CEACAM5;CEACAM6	PTPRC;COL1A1;PECAM1;VWF;TPSAB1	Coherent epithelial keratin and epithelial adhesion program	Becker et al. original compartment annotation	Label only when multiple epithelial markers are coherent and competing lineage programs are absent	NA	NA	NA	NA
annotation_evidence	metadata/annotation_evidence.tsv	3d3e0a77dba1d9576a28474f662787a3b56c66a6f3a1f51a891aaf6910e82ada	major	T_NK	PTPRC;CD3D;CD3E;TRAC;CD247;IL7R;NKG7;GNLY;KLRD1;CCL5	CD79A;MS4A1;JCHAIN;LYZ;EPCAM	T-cell receptor or cytotoxic lymphocyte program	Classic marker combinations	T and NK may be retained together at level 1 when separation is not stable	NA	NA	NA	NA
annotation_evidence	metadata/annotation_evidence.tsv	3d3e0a77dba1d9576a28474f662787a3b56c66a6f3a1f51a891aaf6910e82ada	major	B_cell	PTPRC;CD79A;MS4A1;CD37;CD74;HLA-DRA;CD22	JCHAIN;MZB1;SDC1;LYZ;EPCAM	B-cell receptor and antigen-presentation program	Classic marker combinations	Require several B-lineage markers and absence of plasma-cell dominance	NA	NA	NA	NA
annotation_evidence	metadata/annotation_evidence.tsv	3d3e0a77dba1d9576a28474f662787a3b56c66a6f3a1f51a891aaf6910e82ada	major	Plasma_cell	PTPRC;JCHAIN;MZB1;SDC1;IGHG1;IGHG3;IGHA1;IGHA2	MS4A1;CD3D;LYZ;EPCAM	Antibody-secreting plasma-cell program	Classic marker combinations	Require JCHAIN or MZB1 with immunoglobulin program	NA	NA	NA	NA
annotation_evidence	metadata/annotation_evidence.tsv	3d3e0a77dba1d9576a28474f662787a3b56c66a6f3a1f51a891aaf6910e82ada	major	Myeloid	PTPRC;LYZ;FCER1G;TYROBP;LST1;AIF1;CTSS;FCGR3A;CD68	CD3D;MS4A1;EPCAM;COL1A1	Myeloid innate-immune program	Classic marker combinations	Require several myeloid markers and exclude lymphoid and epithelial programs	NA	NA	NA	NA
annotation_evidence	metadata/annotation_evidence.tsv	3d3e0a77dba1d9576a28474f662787a3b56c66a6f3a1f51a891aaf6910e82ada	major	Fibroblast	COL1A1;COL1A2;COL3A1;DCN;LUM;COL6A1;PDGFRA	PTPRC;EPCAM;PECAM1;RGS5	Extracellular-matrix fibroblast program	Classic marker combinations	Require collagen or matrix program without endothelial or mural-cell dominance	NA	NA	NA	NA
annotation_evidence	metadata/annotation_evidence.tsv	3d3e0a77dba1d9576a28474f662787a3b56c66a6f3a1f51a891aaf6910e82ada	major	Endothelial	PECAM1;VWF;EMCN;KDR;ENG;ESAM;CLDN5;RAMP2	PTPRC;EPCAM;COL1A1;RGS5	Vascular endothelial program	Classic marker combinations	Require multiple endothelial junction or vascular markers	NA	NA	NA	NA
annotation_evidence	metadata/annotation_evidence.tsv	3d3e0a77dba1d9576a28474f662787a3b56c66a6f3a1f51a891aaf6910e82ada	major	Mast_cell	KIT;MS4A2;TPSAB1;TPSB2;CPA3;HPGDS	CD3D;MS4A1;LYZ;EPCAM	Mast-cell granule and receptor program	Classic marker combinations	Require mast-cell-specific protease or receptor combination	NA	NA	NA	NA
annotation_evidence	metadata/annotation_evidence.tsv	3d3e0a77dba1d9576a28474f662787a3b56c66a6f3a1f51a891aaf6910e82ada	major	Pericyte_SMC	RGS5;CSPG4;MCAM;PDGFRB;ACTA2;MYH11;DES	PTPRC;EPCAM;PECAM1;COL1A1	Mural-cell or smooth-muscle contractile program	Classic marker combinations	Use combined label when pericyte and smooth-muscle separation is not stable	NA	NA	NA	NA
annotation_evidence	metadata/annotation_evidence.tsv	3d3e0a77dba1d9576a28474f662787a3b56c66a6f3a1f51a891aaf6910e82ada	major	Enteric_glia	PLP1;S100B;SOX10;SLC1A3;S100A1	PTPRC;EPCAM;COL1A1;PECAM1	Enteric glial program	Classic marker combinations	Label only with coherent neural-glial markers	NA	NA	NA	NA
annotation_evidence	metadata/annotation_evidence.tsv	3d3e0a77dba1d9576a28474f662787a3b56c66a6f3a1f51a891aaf6910e82ada	epithelial	Stem_progenitor	LGR5;ASCL2;SMOC2;RGMB;SOX9;OLFM4;CD44	KRT20;CA1;CA2;MUC2;CHGA	Undifferentiated crypt stem or progenitor program	Becker et al. normal epithelial reference markers	Require a coherent stem/progenitor program rather than one gene	NA	NA	NA	NA
annotation_evidence	metadata/annotation_evidence.tsv	3d3e0a77dba1d9576a28474f662787a3b56c66a6f3a1f51a891aaf6910e82ada	epithelial	Cycling	MKI67;TOP2A;UBE2C;CENPF;CDC20;TICRR;CDC25C	KRT20;CA1;MUC2;BEST4	Cell-cycle-dominant epithelial program	Becker et al. CyclingTA markers	Cell-cycle program can modify another lineage but is reported as cycling when dominant	NA	NA	NA	NA
annotation_evidence	metadata/annotation_evidence.tsv	3d3e0a77dba1d9576a28474f662787a3b56c66a6f3a1f51a891aaf6910e82ada	epithelial	Absorptive	KRT20;CA1;CA2;ALDOB;FABP1;SI;SLC26A2;GUCA2A	MUC2;CHGA;POU2F3;MKI67	Mature or immature absorptive enterocyte lineage	Becker et al. enterocyte markers	Require several absorptive markers; maturity can be described in evidence notes	NA	NA	NA	NA
annotation_evidence	metadata/annotation_evidence.tsv	3d3e0a77dba1d9576a28474f662787a3b56c66a6f3a1f51a891aaf6910e82ada	epithelial	BEST4_positive	BEST4;OTOP2;OTOP3;CA7;SLC26A3;GUCA2A	MUC2;CHGA;POU2F3;MKI67	BEST4-positive absorptive epithelial state	Becker et al. BEST4-positive enterocyte markers	Require BEST4 or OTOP2 plus supporting ion-transport markers	NA	NA	NA	NA
annotation_evidence	metadata/annotation_evidence.tsv	3d3e0a77dba1d9576a28474f662787a3b56c66a6f3a1f51a891aaf6910e82ada	epithelial	Goblet_secretory	MUC2;SPINK4;CLCA1;FCGBP;AGR2;RETNLB;ITLN1;LRRC26	CHGA;POU2F3;BEST4;MKI67	Goblet or secretory epithelial lineage	Becker et al. goblet and immature-goblet markers	Require a coherent mucus or secretory program	NA	NA	NA	NA
