section	source_file	source_sha256	module_id	early_condition	late_condition	n_donors	effect	ci_low	ci_high	standardized_effect	p_value	lodo_sign_stability	max_absolute_donor_contribution	donor_ids	cohort	contrast	fdr	expected_discovery_effect	expected_direction	direction_concordant	strong_opposite	donor_robust	panel
GSE161277	figures_final/stage_7_module_effects_source_data.tsv	126ac817c2ba9fada071c56094f689f54ffeb10cb2e7e82c7765fbffa98db20e	Cycling_SB_M01	normal	adenoma	3	-0.42336159512059	-1.38022625730435	0.53350306706317	-1.09909848875144	0.197264339452006	1	0.580528697598265	Patient1;Patient2;Patient3	GSE161277	normal_to_adenoma	0.284444695163678	-1.04697392429299	-1	TRUE	FALSE	TRUE	GSE161277: normal_to_adenoma
GSE161277	figures_final/stage_7_module_effects_source_data.tsv	126ac817c2ba9fada071c56094f689f54ffeb10cb2e7e82c7765fbffa98db20e	Cycling_SB_M02	normal	adenoma	3	0.244369473741394	-0.303519335720648	0.792258283203436	1.10797558708604	0.194976612318929	1	0.574346100584429	Patient1;Patient2;Patient3	GSE161277	normal_to_adenoma	0.284444695163678	1.0575094860934	1	TRUE	FALSE	TRUE	GSE161277: normal_to_adenoma
GSE161277	figures_final/stage_7_module_effects_source_data.tsv	126ac817c2ba9fada071c56094f689f54ffeb10cb2e7e82c7765fbffa98db20e	Stem_progenitor_SB_M02	normal	adenoma	3	1.64533236894036	0.592406218166863	2.69825851971386	3.88178428567445	0.0214135805203572	1	0.407649926582166	Patient1;Patient2;Patient3	GSE161277	normal_to_adenoma	0.128481483122143	0.546438731152687	1	TRUE	FALSE	TRUE	GSE161277: normal_to_adenoma
GSE161277	figures_final/stage_7_module_effects_source_data.tsv	126ac817c2ba9fada071c56094f689f54ffeb10cb2e7e82c7765fbffa98db20e	Stem_progenitor_SB_M10	normal	adenoma	3	0.296852914075654	-0.468372071011639	1.06207789916295	0.963668898780391	0.237037245969732	1	0.630104134667436	Patient1;Patient2;Patient3	GSE161277	normal_to_adenoma	0.284444695163678	0.842245692657102	1	TRUE	FALSE	TRUE	GSE161277: normal_to_adenoma
GSE161277	figures_final/stage_7_module_effects_source_data.tsv	126ac817c2ba9fada071c56094f689f54ffeb10cb2e7e82c7765fbffa98db20e	Stem_progenitor_SB_M12	normal	adenoma	3	0.170337630096262	-0.550341858136689	0.891017118329213	0.58714329679316	0.416176205436284	1	0.67937257307464	Patient1;Patient2;Patient3	GSE161277	normal_to_adenoma	0.416176205436284	0.526840670420438	1	TRUE	FALSE	TRUE	GSE161277: normal_to_adenoma
GSE161277	figures_final/stage_7_module_effects_source_data.tsv	126ac817c2ba9fada071c56094f689f54ffeb10cb2e7e82c7765fbffa98db20e	Stem_progenitor_SB_M16	normal	adenoma	3	0.853727013849376	-0.433455511515265	2.14090953921402	1.64761052053783	0.10398860468533	1	0.478620280472159	Patient1;Patient2;Patient3	GSE161277	normal_to_adenoma	0.284444695163678	0.85566391978458	1	TRUE	FALSE	TRUE	GSE161277: normal_to_adenoma
GSE132465	figures_final/stage_7_module_effects_source_data.tsv	126ac817c2ba9fada071c56094f689f54ffeb10cb2e7e82c7765fbffa98db20e	Cycling_SB_M01	normal	cancer	8	-0.773102298641274	-1.17757314288506	-0.368631454397486	-1.5979636243807	0.00273305418828985	1	0.161279889382384	SMC01;SMC02;SMC03;SMC04;SMC06;SMC07;SMC09;SMC10	GSE132465	normal_to_cancer	0.00327966502594782	-1.71940621437771	-1	TRUE	FALSE	TRUE	GSE132465: normal_to_cancer
GSE132465	figures_final/stage_7_module_effects_source_data.tsv	126ac817c2ba9fada071c56094f689f54ffeb10cb2e7e82c7765fbffa98db20e	Cycling_SB_M02	normal	cancer	8	0.445051916293867	0.346076716967382	0.544027115620353	3.75925197185738	1.42570879709513e-05	1	0.172383704872083	SMC01;SMC02;SMC03;SMC04;SMC06;SMC07;SMC09;SMC10	GSE132465	normal_to_cancer	8.55425278257077e-05	1.27536268683837	1	TRUE	FALSE	TRUE	GSE132465: normal_to_cancer
GSE132465	figures_final/stage_7_module_effects_source_data.tsv	126ac817c2ba9fada071c56094f689f54ffeb10cb2e7e82c7765fbffa98db20e	Stem_progenitor_SB_M02	normal	cancer	8	1.05599064921351	0.722076522690608	1.38990477573642	2.64388417759043	0.000139867864398206	1	0.170559940153048	SMC01;SMC02;SMC03;SMC04;SMC06;SMC07;SMC09;SMC10	GSE132465	normal_to_cancer	0.000419603593194617	0.788025829152807	1	TRUE	FALSE	TRUE	GSE132465: normal_to_cancer
GSE132465	figures_final/stage_7_module_effects_source_data.tsv	126ac817c2ba9fada071c56094f689f54ffeb10cb2e7e82c7765fbffa98db20e	Stem_progenitor_SB_M10	normal	cancer	8	0.373017397325321	0.23545980917665	0.510574985473992	2.26705303933351	0.000363048450183957	1	0.204782738390776	SMC01;SMC02;SMC03;SMC04;SMC06;SMC07;SMC09;SMC10	GSE132465	normal_to_cancer	0.000544572675275935	0.788222694251721	1	TRUE	FALSE	TRUE	GSE132465: normal_to_cancer
