section	source_file	source_sha256	accession	module_id	endpoint	analysis_set	model	effect	standard_error	ci_low	ci_high	p_value	n_units	residual_df	note	fdr	evidence_role	label
bulk_effects	results_final/stage_8B_bulk_validation_summary.tsv	8b2833a4bfc8568591a65b1ded08c9e843a478f2678a3eabfe3d30518e557cd1	GSE100179	Stem_progenitor_SB_M02	ordered_trend	primary_all_samples	HC3_robust_ordinal	0.532708547480391	0.124806407956344	0.282881378540815	0.782535716419967	7.38232120984776e-05	60	58	NA	0.000147646424196955	independent_tissue_validation	GSE100179: ordered trend
bulk_effects	results_final/stage_8B_bulk_validation_summary.tsv	8b2833a4bfc8568591a65b1ded08c9e843a478f2678a3eabfe3d30518e557cd1	GSE41657	Stem_progenitor_SB_M02	ordered_trend	primary_all_samples	HC3_robust_ordinal	0.563730186418585	0.0976204594350659	0.369667135878849	0.757793236958321	1.19913595316518e-07	88	86	NA	1.43896314379822e-07	independent_tissue_validation	GSE41657: ordered trend
bulk_effects	results_final/stage_8B_bulk_validation_summary.tsv	8b2833a4bfc8568591a65b1ded08c9e843a478f2678a3eabfe3d30518e557cd1	GSE100179	Stem_progenitor_SB_M02	cancer_vs_normal	primary_all_samples	HC3_robust_binary	1.06541709496078	0.184221399804013	0.692480368329844	1.43835382159172	1.1287049366075e-06	40	38	NA	3.3861148098225e-06	independent_tissue_validation	GSE100179: cancer vs normal
bulk_effects	results_final/stage_8B_bulk_validation_summary.tsv	8b2833a4bfc8568591a65b1ded08c9e843a478f2678a3eabfe3d30518e557cd1	GSE8671	Stem_progenitor_SB_M02	adenoma_vs_normal	primary_all_samples	verified_pair_difference	1.84595803364361	0.0882306489699283	1.66601043868516	2.02590562860206	7.647425811228e-20	32	31	One difference per verified donor pair	4.5884554867368e-19	independent_tissue_validation	GSE8671: adenoma vs normal
bulk_effects	results_final/stage_8B_bulk_validation_summary.tsv	8b2833a4bfc8568591a65b1ded08c9e843a478f2678a3eabfe3d30518e557cd1	GSE100179	Stem_progenitor_SB_M02	adenoma_vs_normal	primary_all_samples	HC3_robust_binary	2.07978676949337	0.122249208851039	1.83230618455247	2.32726735443427	2.30764286180702e-19	40	38	NA	1.38458571708421e-18	independent_tissue_validation	GSE100179: adenoma vs normal
bulk_effects	results_final/stage_8B_bulk_validation_summary.tsv	8b2833a4bfc8568591a65b1ded08c9e843a478f2678a3eabfe3d30518e557cd1	GSE41657	Stem_progenitor_SB_M02	cancer_vs_normal	primary_all_samples	HC3_robust_binary	2.11945807117278	0.116839538677456	1.88226119737056	2.35665494497499	2.22975920457671e-19	37	35	NA	1.33785552274603e-18	independent_tissue_validation	GSE41657: cancer vs normal
bulk_effects	results_final/stage_8B_bulk_validation_summary.tsv	8b2833a4bfc8568591a65b1ded08c9e843a478f2678a3eabfe3d30518e557cd1	GSE41657	Stem_progenitor_SB_M02	adenoma_vs_normal	primary_all_samples	HC3_robust_binary	2.42013042055188	0.102708627819666	2.21475182598121	2.62550901512255	2.48332626808588e-32	63	61	NA	1.48999576085153e-31	independent_tissue_validation	GSE41657: adenoma vs normal
TCGA_context	results_final/stage_8B_bulk_validation_summary.tsv	8b2833a4bfc8568591a65b1ded08c9e843a478f2678a3eabfe3d30518e557cd1	TCGA-COAD	Stem_progenitor_SB_M02	overall_survival	auxiliary	Cox_age_sex_stage_adjusted	-0.00937794641141675	0.124843762394448	-0.254071720704535	0.235315827881701	0.94012125546923	411	NA	log-HR per 1-SD; PH_p=0.3738	0.982805714457867	TCGA_auxiliary_only	NA
TCGA_context	results_final/stage_8B_bulk_validation_summary.tsv	8b2833a4bfc8568591a65b1ded08c9e843a478f2678a3eabfe3d30518e557cd1	TCGA-COAD	Stem_progenitor_SB_M02	MSI_vs_MSS	auxiliary	HC3_robust_binary	-1.49482133963596	0.0794496236748768	-1.65102200959679	-1.33862066967513	9.85633625659319e-57	394	392	MANTIS; indeterminate excluded	5.91380175395592e-56	TCGA_auxiliary_only	NA
TCGA_context	results_final/stage_8B_bulk_validation_summary.tsv	8b2833a4bfc8568591a65b1ded08c9e843a478f2678a3eabfe3d30518e557cd1	TCGA-COAD	Stem_progenitor_SB_M02	pathologic_stage_ordinal	auxiliary	HC3_robust_ordinal	0.0836039249785532	0.0459182234564766	-0.00665056027039902	0.173858410227505	0.0693518463656906	428	426	Primary tumors only	0.156928994432359	TCGA_auxiliary_only	NA
TCGA_context	results_final/stage_8B_bulk_validation_summary.tsv	8b2833a4bfc8568591a65b1ded08c9e843a478f2678a3eabfe3d30518e557cd1	TCGA-COAD	Stem_progenitor_SB_M02	CMS_CMS3_vs_CMS1	auxiliary	HC3_robust_CMS	1.20151940673162	0.131127548032894	0.943749480177022	1.45928933328621	2.49011559503268e-18	412	408	Confident CMScaller predictions only	1.49406935701961e-17	TCGA_auxiliary_only	NA
TCGA_context	results_final/stage_8B_bulk_validation_summary.tsv	8b2833a4bfc8568591a65b1ded08c9e843a478f2678a3eabfe3d30518e557cd1	TCGA-COAD	Stem_progenitor_SB_M02	CMS_CMS4_vs_CMS1	auxiliary	HC3_robust_CMS	1.27692896400315	0.115816420459454	1.04925758111295	1.50460034689334	6.43102100250949e-25	412	408	Confident CMScaller predictions only	3.85861260150569e-24	TCGA_auxiliary_only	NA
