section	source_file	source_sha256	scenario_id	mapped36	mapped35	primary_36of36	sensitivity_29of36	sensitivity_35gene_80pct	status	qc_mode	annotation_source	compartment	min_cells	scenario_role	score_method	score_role	P1_effect	P5_effect	k_positive	n_pairs	descriptive_mean_effect	reason
coverage	results/stage10c3/STAGE10C3_GENE_COVERAGE.tsv	0009a305dff96e9ed966006867fee1f5eb911bd827755627552f2aba0dd5faa7	PRIMARY_ALL_EPI_MIN50	33	32	FALSE	TRUE	TRUE	SENSITIVITY_ONLY_PRIMARY_NOT_ESTIMABLE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
coverage	results/stage10c3/STAGE10C3_GENE_COVERAGE.tsv	0009a305dff96e9ed966006867fee1f5eb911bd827755627552f2aba0dd5faa7	CELL_MIN25_SENS	33	32	FALSE	TRUE	TRUE	SENSITIVITY_ONLY_PRIMARY_NOT_ESTIMABLE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
coverage	results/stage10c3/STAGE10C3_GENE_COVERAGE.tsv	0009a305dff96e9ed966006867fee1f5eb911bd827755627552f2aba0dd5faa7	CELL_MIN100_SENS	33	32	FALSE	TRUE	TRUE	SENSITIVITY_ONLY_PRIMARY_NOT_ESTIMABLE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
coverage	results/stage10c3/STAGE10C3_GENE_COVERAGE.tsv	0009a305dff96e9ed966006867fee1f5eb911bd827755627552f2aba0dd5faa7	DEPOSIT_QC_SENS	33	32	FALSE	TRUE	TRUE	SENSITIVITY_ONLY_PRIMARY_NOT_ESTIMABLE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
coverage	results/stage10c3/STAGE10C3_GENE_COVERAGE.tsv	0009a305dff96e9ed966006867fee1f5eb911bd827755627552f2aba0dd5faa7	STEM_PROGENITOR_SECONDARY	33	32	FALSE	TRUE	TRUE	SENSITIVITY_ONLY_PRIMARY_NOT_ESTIMABLE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
primary_sensitivities	results/stage10c3/STAGE10C3_SENSITIVITY.tsv	d613030f943c32b22e5e7ef1a6d7e46067961a9ab4d81cdba5565ca60632365a	PRIMARY_ALL_EPI_MIN50	NA	NA	NA	NA	NA	NOT_ESTIMABLE	primary_qc	independent_broad_annotation	all_epithelial	50	primary	M02_SCORE_V1	primary	NA	NA	0	0	NA	two directional patient effects; no population inference
primary_sensitivities	results/stage10c3/STAGE10C3_SENSITIVITY.tsv	d613030f943c32b22e5e7ef1a6d7e46067961a9ab4d81cdba5565ca60632365a	PRIMARY_ALL_EPI_MIN50	NA	NA	NA	NA	NA	ESTIMABLE	primary_qc	independent_broad_annotation	all_epithelial	50	primary	M02_29OF36_COVERAGE_SENS	coverage_sensitivity	2.50171154079861	2.26365279761613	2	2	2.38268216920737	two directional patient effects; no population inference
primary_sensitivities	results/stage10c3/STAGE10C3_SENSITIVITY.tsv	d613030f943c32b22e5e7ef1a6d7e46067961a9ab4d81cdba5565ca60632365a	PRIMARY_ALL_EPI_MIN50	NA	NA	NA	NA	NA	ESTIMABLE	primary_qc	independent_broad_annotation	all_epithelial	50	primary	M02_MINUS_INPP5D_SENS_V1	contamination_sensitivity	2.49304241532641	2.24643255642765	2	2	2.36973748587703	two directional patient effects; no population inference
primary_sensitivities	results/stage10c3/STAGE10C3_SENSITIVITY.tsv	d613030f943c32b22e5e7ef1a6d7e46067961a9ab4d81cdba5565ca60632365a	PRIMARY_ALL_EPI_MIN50	NA	NA	NA	NA	NA	ESTIMABLE	primary_qc	independent_broad_annotation	all_epithelial	50	primary	M02_GENE_Z_SENS	score_sensitivity	1.9011851720716	1.53698116436986	2	2	1.71908316822073	two directional patient effects; no population inference
primary_sensitivities	results/stage10c3/STAGE10C3_SENSITIVITY.tsv	d613030f943c32b22e5e7ef1a6d7e46067961a9ab4d81cdba5565ca60632365a	PRIMARY_ALL_EPI_MIN50	NA	NA	NA	NA	NA	ESTIMABLE	primary_qc	independent_broad_annotation	all_epithelial	50	primary	M02_UCELL_SENS	score_sensitivity	0.0348014475403611	0.0413693569472658	2	2	0.0380854022438135	two directional patient effects; no population inference
