Claim ID	Dataset/branch	Compartment or endpoint	Patient/unit count	Statistical unit	Effect definition	Effect estimate	95% CI lower	95% CI upper	P value	FDR	Frozen evidence status	Mandatory limitation	Source file
FC01	GSE201348	Absorptive	normal=6;adenoma=8;cancer=3	Donor-level pseudobulk	Prespecified normal-to-adenoma gene-level screen	NA	NA	NA	7.16769955847022e-06	0.0866462872804574	0 genes at FDR<0.05 among 15472 tested	State-specific eligible donor counts; no threshold relaxation	logs_summary/stage_6A_candidate_attrition_audit.tsv;logs_summary/stage_6A_model_fit_audit.tsv
FC01	GSE201348	Adenoma_like	normal=6;adenoma=8;cancer=4	Donor-level pseudobulk	Prespecified normal-to-adenoma gene-level screen	NA	NA	NA	1.43761760743896e-05	0.0518820132803754	0 genes at FDR<0.05 among 4263 tested	State-specific eligible donor counts; no threshold relaxation	logs_summary/stage_6A_candidate_attrition_audit.tsv;logs_summary/stage_6A_model_fit_audit.tsv
FC01	GSE201348	Cycling	normal=6;adenoma=9;cancer=4	Donor-level pseudobulk	Prespecified normal-to-adenoma gene-level screen	NA	NA	NA	1.09755838730537e-05	0.0625182128621484	0 genes at FDR<0.05 among 12284 tested	State-specific eligible donor counts; no threshold relaxation	logs_summary/stage_6A_candidate_attrition_audit.tsv;logs_summary/stage_6A_model_fit_audit.tsv
FC01	GSE201348	Stem_progenitor	normal=6;adenoma=9;cancer=4	Donor-level pseudobulk	Prespecified normal-to-adenoma gene-level screen	NA	NA	NA	9.48832320403311e-06	0.0534421054940975	0 genes at FDR<0.05 among 13285 tested	State-specific eligible donor counts; no threshold relaxation	logs_summary/stage_6A_candidate_attrition_audit.tsv;logs_summary/stage_6A_model_fit_audit.tsv
FC03	GSE201348	All_epithelial	4	donor	mean_locked_gene_log2CPM_difference	1.27648053160379	0.243353678578395	2.30960738462918	0.0292897628100523	0.0585795256201046	TREND_LEVEL_INTERNAL_EXPLORATORY	Internal paired FAP evidence; n=4; no independent-cohort credit	${SYSTEM_TEMP}\crc_stage11b_remote_source\stage10C_locked_module_results.tsv
FC04	GSE201348	Stem_progenitor	4	donor	mean_locked_gene_log2CPM_difference	0.778495488825039	0.0656681391579635	1.49132283849212	0.0401823051904483	0.048218766228538	BORDERLINE_INTERNAL_EXPLORATORY	Internal paired FAP evidence; n=4; no independent-cohort credit	${SYSTEM_TEMP}\crc_stage11b_remote_source\stage10C_locked_module_results.tsv
FC05	GSE161277	Normal to adenoma	3	Donor paired difference	Adenoma minus normal donor module score	1.64533236894036	0.592406218166863	2.69825851971386	0.0214135805203572	0.128481483122143	DIRECTIONAL_AND_UNDERPOWERED	One independent cohort; n=3; FDR=0.128; counted once	results_final/stage_7_replication_effects_all.tsv
FC07	GSE41657	Adenoma versus normal	63	Array/sample-scoped unit	HC3_robust_binary	2.42013042055188	2.21475182598121	2.62550901512255	2.48332626808588e-32	1.48999576085153e-31	EXPLORATORY_BULK_ASSOCIATION	Patient identity not verifiable; sample-scoped arrays; bulk tissue	results_final/stage_8B_bulk_validation_summary.tsv
FC08	GSE100179	Adenoma versus normal	40	Array/sample-scoped unit	HC3_robust_binary	2.07978676949337	1.83230618455247	2.32726735443427	2.30764286180702e-19	1.38458571708421e-18	EXPLORATORY_BULK_ASSOCIATION	Patient identity not verifiable; sample-scoped arrays; bulk tissue	results_final/stage_8B_bulk_validation_summary.tsv
FC09	GSE8671	Adenoma versus normal	32	Patient pair	verified_pair_difference	1.84595803364361	1.66601043868516	2.02590562860206	7.647425811228e-20	4.5884554867368e-19	EXPLORATORY_BULK_ASSOCIATION	32 verified matched patients; bulk tissue	results_final/stage_8B_bulk_validation_summary.tsv
FC10	GSE41657;GSE100179;GSE8671	Random-effects adenoma versus normal	3	Cohort-level random-effects meta-analysis	REML_Knapp-Hartung	2.11287939482703	1.38879690807021	2.83696188158384	0.00628413144977775	0.0377047886986665	LEVEL_C_BULK_META_ASSOCIATION	I2=87.6092612520759%; prediction interval 0.725429748934515 to 3.50032904071954; not a pooled-patient analysis	results_final/stage_8B_meta_analysis_results.tsv
FC11	GSE132465	Cancer versus normal	8	Donor paired difference	Cancer minus normal donor module score	1.05599064921351	0.722076522690608	1.38990477573642	0.000139867864398206	0.000419603593194617	AUXILIARY_CANCER_CONTEXT	No adenoma endpoint; cancer-context only	results_final/stage_7_replication_effects_all.tsv
FC12	TCGA-COAD	Paired cancer versus normal	41	Patient	paired_patient_difference	1.82138313361985	1.521968212303	2.12079805493669	3.63074098673637e-15	7.26148197347274e-15	AUXILIARY_CANCER_CONTEXT	No adenoma endpoint; cancer-context only	results_final/stage_8B_bulk_validation_summary.tsv
FC13	GSE99573	adenoma_vs_normal	42	Participant	One-time independent-test AUC	0.5	0.5	0.5	NA	NA	NEGATIVE_TRANSLATIONAL_RESULT	Immutable test set used once and retired	results_final/stage_9C_stool_test_results.tsv
FC13	GSE99573	cancer_vs_normal	45	Participant	One-time independent-test AUC	0.5	0.5	0.5	NA	NA	NEGATIVE_TRANSLATIONAL_RESULT	Immutable test set used once and retired	results_final/stage_9C_stool_test_results.tsv
FC13	GSE99573	neoplasia_vs_normal	65	Participant	One-time independent-test AUC	0.529598308668076	0.380248229971156	0.678948387364997	NA	NA	NEGATIVE_TRANSLATIONAL_RESULT	Immutable test set used once and retired	results_final/stage_9C_stool_test_results.tsv
FC06	Figshare 29925404	Primary 36/36 LST-G matched-pair score	2 matched donors	Patient matched descriptive effect	Locked 36/36 primary score	NA	NA	NA	NA	NA	NOT_ESTIMABLE	Primary status precedes sensitivities; hereditary status unknown; Stage 11B-specific Table 2 inclusion	results/stage10c3/STAGE10C3_MATCHED_PAIR_EFFECTS.tsv
