section	source_file	source_sha256	patient_id	slide_or_capture_id	overlay_width	overlay_height	frozen_crop_x	frozen_crop_y	frozen_crop_width	frozen_crop_height	colour_bbox_xmin	colour_bbox_xmax	colour_bbox_ymin	colour_bbox_ymax	pathology_colour_pixels	hires_width	hires_height	tissue_hires_scalef	spot_diameter_fullres	positions_total	positions_in_tissue	fullres_xmin	fullres_xmax	fullres_ymin	fullres_ymax	path	purpose	decision	reason	old_agreement	old_kappa	old_coordinate_A	old_coordinate_B	primary_failure_source	error_type	class_swap_evidence	background_unassigned_issue	m02_or_expression_used	recoverable	expected_kappa_impact	historical_stage10e_status_preserved	cohort	mapped_genes	canonical_genes	recomputed_sha256	expected_sha256	status	expression_values_opened	spot_spacing_overlay_px	pipeline_A_tissue_mask_dice	pipeline_B_tissue_mask_dice	pipeline_A_hausdorff_spot_diameters	pipeline_B_hausdorff_spot_diameters	pipeline_B_landmark_median_reprojection_spot_diameters	pipeline_B_landmark_p95_reprojection_spot_diameters	pipeline_B_LOLO_median_spot_diameters	A_B_median_coordinate_distance_spot_diameters	A_B_p95_coordinate_distance_spot_diameters	rotation_mirror_ambiguity_A	rotation_mirror_ambiguity_B	systematic_direction_conflict	relative_path	sha256_before	protection	input_type	sha256	expression_content	registration_pass	paired_minimum_spot_coverage	Adenoma_spots	Normal_spots	minimum_each	patient_decision	biological_inference_unit	agreement_scope	common_evaluable_spots	agreement	cohen_kappa	PABAK	Adenoma_Dice	Adenoma_IoU	Normal_Dice	Normal_IoU	pipeline_A_unassigned_fraction	pipeline_B_unassigned_fraction	consensus_unassigned_fraction	consensus_Adenoma_spots	consensus_Normal_spots	run_id	execution_backend	session_or_job_id	setup_git_commit	launch_command	expected_outputs	log_directory	status_check_command	failure_recovery_command	formal_run_limit	stage10f_started	timestamp_utc	python	platform	numpy	scipy	pillow	seed	test	pipeline_A_median_error_px	pipeline_B_median_error_px	real_M02_or_expression_accessed	pipeline	rotation_degrees	mirror	transform_family	m00	m01	tx	m10	m11	ty	geometric_objective	second_best_gap	nonlinear_used	selection_information
STAGE10E_R_COORDINATE_AUDIT	${CRC_LOCAL_PROJECT_ROOT}/results/stage10e_roi_remediation/STAGE10E_R_COORDINATE_AUDIT.tsv	ccdb17db81681436a95c8ef4c1c10818444becfbdb314663d822575911c0e9a5	case1	Rectum_kyudai_Beppu_20200303	740	925	490	40	195	155	10	181	11	135	8739	2000	1855	0.1775253	85.502312	4992	2807	1244	10061	918	9276	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
STAGE10E_R_COORDINATE_AUDIT	${CRC_LOCAL_PROJECT_ROOT}/results/stage10e_roi_remediation/STAGE10E_R_COORDINATE_AUDIT.tsv	ccdb17db81681436a95c8ef4c1c10818444becfbdb314663d822575911c0e9a5	case2	Ascending_kyudai_Beppu_20200430	993	1404	175	710	180	200	11	138	19	152	5981	2000	1855	0.17754106	85.510017	4992	3417	1368	10184	1023	9380	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
STAGE10E_R_COORDINATE_AUDIT	${CRC_LOCAL_PROJECT_ROOT}/results/stage10e_roi_remediation/STAGE10E_R_COORDINATE_AUDIT.tsv	ccdb17db81681436a95c8ef4c1c10818444becfbdb314663d822575911c0e9a5	case3	Sigmoid_kyudai_Beppu_20210602	993	1404	405	710	180	200	13	122	20	152	3152	2000	1857	0.17750955	85.535428	4992	2282	1126	9967	1098	9481	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
STAGE10E_R_COORDINATE_AUDIT	${CRC_LOCAL_PROJECT_ROOT}/results/stage10e_roi_remediation/STAGE10E_R_COORDINATE_AUDIT.tsv	ccdb17db81681436a95c8ef4c1c10818444becfbdb314663d822575911c0e9a5	case4	Transverse_kyudai_Beppu_20211111	993	1404	635	710	180	200	0	115	20	152	4711	2000	1857	0.17754106	85.535873	4992	3767	1131	9971	1086	9468	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
STAGE10E_R_DENYLIST_AUDIT	${CRC_LOCAL_PROJECT_ROOT}/results/stage10e_roi_remediation/STAGE10E_R_DENYLIST_AUDIT.tsv	87a55009ea0fb1df2128834a256cb28531d2fc287ef0b03bdf530693218b8cfa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	${CRC_PROJECT_ROOT}/config/stage10e_r_registration_inputs.tsv	frozen registration inputs	ALLOW	frozen expression-blind input	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
STAGE10E_R_DENYLIST_AUDIT	${CRC_LOCAL_PROJECT_ROOT}/results/stage10e_roi_remediation/STAGE10E_R_DENYLIST_AUDIT.tsv	87a55009ea0fb1df2128834a256cb28531d2fc287ef0b03bdf530693218b8cfa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	${CRC_PROJECT_ROOT}/config/stage10e_r_parameters.tsv	frozen remediation parameters	ALLOW	frozen expression-blind input	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
STAGE10E_R_DENYLIST_AUDIT	${CRC_LOCAL_PROJECT_ROOT}/results/stage10e_roi_remediation/STAGE10E_R_DENYLIST_AUDIT.tsv	87a55009ea0fb1df2128834a256cb28531d2fc287ef0b03bdf530693218b8cfa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	${CRC_PROJECT_ROOT}/results/stage10c2_sp/STAGE10C2_SP_COHORT_COMMON_GENESET.tsv	frozen 30-of-36 gene identity lock; no expression values	ALLOW	frozen expression-blind input	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
STAGE10E_R_DENYLIST_AUDIT	${CRC_LOCAL_PROJECT_ROOT}/results/stage10e_roi_remediation/STAGE10E_R_DENYLIST_AUDIT.tsv	87a55009ea0fb1df2128834a256cb28531d2fc287ef0b03bdf530693218b8cfa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	${CRC_PROJECT_ROOT}/metadata/stage10C2_SP/sources/gr1.jpg	published pathology overlay for case1	ALLOW	frozen expression-blind input	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
STAGE10E_R_DENYLIST_AUDIT	${CRC_LOCAL_PROJECT_ROOT}/results/stage10e_roi_remediation/STAGE10E_R_DENYLIST_AUDIT.tsv	87a55009ea0fb1df2128834a256cb28531d2fc287ef0b03bdf530693218b8cfa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	${CRC_PROJECT_ROOT}/data_processed/stage10e/stage10e_20260801_010406/derived/Rectum_kyudai_Beppu_20200303/tissue_positions_list.csv	spot coordinates for case1	ALLOW	frozen expression-blind input	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
STAGE10E_R_DENYLIST_AUDIT	${CRC_LOCAL_PROJECT_ROOT}/results/stage10e_roi_remediation/STAGE10E_R_DENYLIST_AUDIT.tsv	87a55009ea0fb1df2128834a256cb28531d2fc287ef0b03bdf530693218b8cfa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	${CRC_PROJECT_ROOT}/data_processed/stage10e/stage10e_20260801_010406/derived/Rectum_kyudai_Beppu_20200303/scalefactors_json.json	coordinate scale for case1	ALLOW	frozen expression-blind input	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
STAGE10E_R_DENYLIST_AUDIT	${CRC_LOCAL_PROJECT_ROOT}/results/stage10e_roi_remediation/STAGE10E_R_DENYLIST_AUDIT.tsv	87a55009ea0fb1df2128834a256cb28531d2fc287ef0b03bdf530693218b8cfa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	${CRC_PROJECT_ROOT}/data_processed/stage10e/stage10e_20260801_010406/derived/Rectum_kyudai_Beppu_20200303/tissue_hires_image.png	deposited H&E for case1	ALLOW	frozen expression-blind input	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
STAGE10E_R_DENYLIST_AUDIT	${CRC_LOCAL_PROJECT_ROOT}/results/stage10e_roi_remediation/STAGE10E_R_DENYLIST_AUDIT.tsv	87a55009ea0fb1df2128834a256cb28531d2fc287ef0b03bdf530693218b8cfa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	${CRC_PROJECT_ROOT}/data_processed/stage10e/stage10e_20260801_010406/derived/source_render/mmc1-01.png	published pathology overlay for case2	ALLOW	frozen expression-blind input	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
STAGE10E_R_DENYLIST_AUDIT	${CRC_LOCAL_PROJECT_ROOT}/results/stage10e_roi_remediation/STAGE10E_R_DENYLIST_AUDIT.tsv	87a55009ea0fb1df2128834a256cb28531d2fc287ef0b03bdf530693218b8cfa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	${CRC_PROJECT_ROOT}/data_processed/stage10e/stage10e_20260801_010406/derived/Ascending_kyudai_Beppu_20200430/tissue_positions_list.csv	spot coordinates for case2	ALLOW	frozen expression-blind input	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
STAGE10E_R_DENYLIST_AUDIT	${CRC_LOCAL_PROJECT_ROOT}/results/stage10e_roi_remediation/STAGE10E_R_DENYLIST_AUDIT.tsv	87a55009ea0fb1df2128834a256cb28531d2fc287ef0b03bdf530693218b8cfa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	${CRC_PROJECT_ROOT}/data_processed/stage10e/stage10e_20260801_010406/derived/Ascending_kyudai_Beppu_20200430/scalefactors_json.json	coordinate scale for case2	ALLOW	frozen expression-blind input	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
STAGE10E_R_DENYLIST_AUDIT	${CRC_LOCAL_PROJECT_ROOT}/results/stage10e_roi_remediation/STAGE10E_R_DENYLIST_AUDIT.tsv	87a55009ea0fb1df2128834a256cb28531d2fc287ef0b03bdf530693218b8cfa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	${CRC_PROJECT_ROOT}/data_processed/stage10e/stage10e_20260801_010406/derived/Ascending_kyudai_Beppu_20200430/tissue_hires_image.png	deposited H&E for case2	ALLOW	frozen expression-blind input	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
STAGE10E_R_DENYLIST_AUDIT	${CRC_LOCAL_PROJECT_ROOT}/results/stage10e_roi_remediation/STAGE10E_R_DENYLIST_AUDIT.tsv	87a55009ea0fb1df2128834a256cb28531d2fc287ef0b03bdf530693218b8cfa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	${CRC_PROJECT_ROOT}/data_processed/stage10e/stage10e_20260801_010406/derived/source_render/mmc1-01.png	published pathology overlay for case3	ALLOW	frozen expression-blind input	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
STAGE10E_R_DENYLIST_AUDIT	${CRC_LOCAL_PROJECT_ROOT}/results/stage10e_roi_remediation/STAGE10E_R_DENYLIST_AUDIT.tsv	87a55009ea0fb1df2128834a256cb28531d2fc287ef0b03bdf530693218b8cfa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	${CRC_PROJECT_ROOT}/data_processed/stage10e/stage10e_20260801_010406/derived/Sigmoid_kyudai_Beppu_20210602/tissue_positions_list.csv	spot coordinates for case3	ALLOW	frozen expression-blind input	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
STAGE10E_R_DENYLIST_AUDIT	${CRC_LOCAL_PROJECT_ROOT}/results/stage10e_roi_remediation/STAGE10E_R_DENYLIST_AUDIT.tsv	87a55009ea0fb1df2128834a256cb28531d2fc287ef0b03bdf530693218b8cfa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	${CRC_PROJECT_ROOT}/data_processed/stage10e/stage10e_20260801_010406/derived/Sigmoid_kyudai_Beppu_20210602/scalefactors_json.json	coordinate scale for case3	ALLOW	frozen expression-blind input	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
STAGE10E_R_DENYLIST_AUDIT	${CRC_LOCAL_PROJECT_ROOT}/results/stage10e_roi_remediation/STAGE10E_R_DENYLIST_AUDIT.tsv	87a55009ea0fb1df2128834a256cb28531d2fc287ef0b03bdf530693218b8cfa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	${CRC_PROJECT_ROOT}/data_processed/stage10e/stage10e_20260801_010406/derived/Sigmoid_kyudai_Beppu_20210602/tissue_hires_image.png	deposited H&E for case3	ALLOW	frozen expression-blind input	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
STAGE10E_R_DENYLIST_AUDIT	${CRC_LOCAL_PROJECT_ROOT}/results/stage10e_roi_remediation/STAGE10E_R_DENYLIST_AUDIT.tsv	87a55009ea0fb1df2128834a256cb28531d2fc287ef0b03bdf530693218b8cfa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	${CRC_PROJECT_ROOT}/data_processed/stage10e/stage10e_20260801_010406/derived/source_render/mmc1-01.png	published pathology overlay for case4	ALLOW	frozen expression-blind input	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
