section	source_file	source_sha256	evidence_id	stage	dataset	patients_n	lesion_type	genetic_background	paired	independence	inferential_unit	canonical_module_size	actual_mapped_genes	primary_result_status	descriptive_result	ci_p_fdr_available	limitations	strongest_allowed_statement	manuscript_placement	source_files	stages_using_dataset	project_patient_or_sample_scope	reused_within_project	independent_early_cohort_credit	overlap_audit	known_overlap	residual_overlap_or_independence_risk	counting_rule	permitted_role	record_id	stage_or_patient	roi_registration	paired_technical_coverage	mapped_genes	locked_status_or_result	statistical_inference	allowed_evidence_role	mandatory_limitation	prohibited_interpretation	source
evidence_matrix	results/stage10h/STAGE10H_EVIDENCE_MATRIX.tsv	72fa062c98ae4796c11fef5e9747b810038d35d6f17b80aa18e1595f168788a1	E01	Stage_6A_primary	GSE201348	14_total_donors;_eligible_state_counts_normal_6_adenoma_8-9_cancer_3-4	normal_mucosa;_polyp_or_adenoma;_cancer	mixed_FAP_and_nonFAP_with_stage_imbalance	repeated_donor_stages_not_fully_paired	discovery_cohort;_not_external	donor_pseudobulk	NA_M02_not_a_prespecified_primary_endpoint	NA	NEGATIVE_PRIMARY_DISCOVERY	No_normal-to-adenoma_gene_reached_FDR_below_0.05;_zero_primary_candidate_programs	YES_for_gene-level_results	Underpowered_donor_counts;_FAP_and_stage_imbalance;_M02_was_formed_only_in_a_later_exploratory_amendment	The_prespecified_gene-level_early-transition_analysis_was_negative	ABSTRACT_AND_MAIN_TEXT_MANDATORY	reports/stage_6A_pseudobulk_discovery.md	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
evidence_matrix	results/stage10h/STAGE10H_EVIDENCE_MATRIX.tsv	72fa062c98ae4796c11fef5e9747b810038d35d6f17b80aa18e1595f168788a1	E02	Stage_6A_amendment_and_10C	GSE201348	4_paired_FAP_donors	normal_mucosa_to_adenoma	FAP;_germline_APC_context_not_separately_estimable_in_current_design	YES	internal_reuse_of_discovery_cohort;_zero_additional_independent_cohorts	donor	36	36	INTERNAL_FAP_EXPLORATORY_SUPPORT	All_epithelial_effect_1.276_CI_0.243_to_2.310_P_0.0293_FDR_0.0586_trend;_Stem_progenitor_effect_0.778_CI_0.066_to_1.491_P_0.0402_FDR_0.0482_borderline	YES	Only_four_paired_FAP_patients;_sporadic_effect_and_stage_by_FAP_or_APC_interaction_NOT_ESTIMABLE;_post-hoc_stage-blind_module	M02_is_a_FAP/adenoma-associated_exploratory_epithelial_stem/progenitor_module	ABSTRACT_WITH_MANDATORY_QUALIFIERS_AND_MAIN_TEXT	results/stage10c/STAGE10C_CLAIM_CEILING.md;results/stage10c/STAGE10C_DECISION.md	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
evidence_matrix	results/stage10h/STAGE10H_EVIDENCE_MATRIX.tsv	72fa062c98ae4796c11fef5e9747b810038d35d6f17b80aa18e1595f168788a1	E03	Stage_7_and_10C_re-report	GSE161277	3_matched_patients	normal_mucosa;_adenoma;_carcinoma	FAP/APC_status_not_established_for_project-level_generalization	YES	one_independent_early_single-cell_cohort_counted_once	donor	36	36	DIRECTIONAL_SUPPORT_ONLY	Normal-to-adenoma_effect_1.645_CI_0.592_to_2.698_P_0.0214_FDR_0.128;_LODO_direction_1.0	YES	Only_three_patients;_wide_CI;_same_accession_appears_in_Stage_7_and_10C_but_is_one_dataset	Directionally_consistent_but_underpowered_three-patient_early-lesion_evidence	ABSTRACT_WITH_SMALL_COHORT_QUALIFIER_AND_MAIN_TEXT	results_final/stage_7_replication_summary.tsv;results/stage10c/STAGE10C_CLAIM_CEILING.md	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
evidence_matrix	results/stage10h/STAGE10H_EVIDENCE_MATRIX.tsv	72fa062c98ae4796c11fef5e9747b810038d35d6f17b80aa18e1595f168788a1	E04	Stage_7	GSE132465	8_evaluable_matched_donors_of_23_total	normal_mucosa_to_cancer	unselected_CRC_hereditary_status_not_used	YES	independent_cancer-endpoint_single-cell_cohort	donor	36	33	CANCER_ENDPOINT_AND_EPITHELIAL_SPECIFICITY_SUPPORT	Cancer-to-normal_effect_1.056_CI_0.722_to_1.390_FDR_0.000420;_epithelial_specificity_effect_0.581_CI_0.441_to_0.722_FDR_1.85e-08	YES	Contains_no_adenoma_endpoint;_cannot_support_adenoma_initiation_or_FAP_generalization	M02_is_detectable_in_epithelial_cells_and_differs_at_the_cancer_endpoint_in_this_cohort	MAIN_TEXT_AS_AUXILIARY_CANCER_SPECIFICITY_EVIDENCE	results_final/stage_7_replication_summary.tsv;reports/stage_7_singlecell_replication.md	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
evidence_matrix	results/stage10h/STAGE10H_EVIDENCE_MATRIX.tsv	72fa062c98ae4796c11fef5e9747b810038d35d6f17b80aa18e1595f168788a1	E05	Stage_10C3	Figshare_29925404	7_total_patients;_2_same-site_matched_patients_P1_and_P5	LST-G;_protruded_adenoma;_normal	FAP_status_NA;_germline_APC_status_NA	YES_for_P1_and_P5_only	one_LST-G_sensitivity_cohort;_low_but_not_zero_unreported_overlap_risk	patient	36	33/36_primary_feature_space;_29/36_coverage_sensitivity;_32/35_INPP5D-minus_available	NOT_ESTIMABLE	Primary_36/36_unavailable;_29/36_M02-minus-INPP5D_gene-z_and_UCell_all_positive_in_P1_and_P5	NO_primary_CI_P_or_FDR	Only_two_matched_donors;_three_primary_genes_absent;_hereditary_status_unknown;_LST-G_not_equivalent_to_ordinary_sporadic_adenoma;_Stem/progenitor_secondary_not_estimable	The_locked_M02_showed_positive_descriptive_sensitivity_behavior_in_two_matched_normal-LST-G_donors_with_unknown_hereditary_status	SUPPLEMENTARY_ONLY	results/stage10c3/STAGE10C3_POSTLOCK_ADDENDUM.md;results/stage10c3/STAGE10C3_DECISION.md	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
evidence_matrix	results/stage10h/STAGE10H_EVIDENCE_MATRIX.tsv	72fa062c98ae4796c11fef5e9747b810038d35d6f17b80aa18e1595f168788a1	E06	Stage_8B	GSE41657	NA_patient_identity;_88_sample-scoped_arrays	normal;_low-grade_adenoma;_high-grade_adenoma;_cancer	hereditary_background_not_reported	NO_verified_pairing	independent_bulk_accession;_patient_independence_not_verifiable	array/sample_scoped_unit	36	29	BULK_ADENOMA_ASSOCIATION_SUPPORT	Adenoma-to-normal_effect_2.420_CI_2.215_to_2.626_FDR_1.49e-31;_ordered_trend_positive;_cancer-to-adenoma_effect_negative	YES	Patient_identifiers_not_recoverable;_colon-versus-rectum_unresolved;_platform_incomplete_mapping;_not_cell-type-specific	M02_bulk_expression_is_higher_in_adenoma_than_normal_in_this_sample-scoped_tissue_cohort	MAIN_TEXT_WITH_PATIENT-INDEPENDENCE_LIMITATION	reports/stage_8B_bulk_validation.md;${CRC_PROJECT_ROOT}/results/08A_bulk_preprocessing/20260729_105540/GSE41657/locked_module_mapping_summary.tsv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
evidence_matrix	results/stage10h/STAGE10H_EVIDENCE_MATRIX.tsv	72fa062c98ae4796c11fef5e9747b810038d35d6f17b80aa18e1595f168788a1	E07	Stage_8B	GSE100179	NA_verified_patients;_60_sample-scoped_arrays	normal;_adenoma;_cancer	hereditary_background_not_reported	NO_verified_pairing	independent_bulk_accession;_donor_matching_key_unavailable	array/sample_scoped_unit	36	32	BULK_ADENOMA_ASSOCIATION_SUPPORT	Adenoma-to-normal_effect_2.080_CI_1.832_to_2.327_FDR_1.38e-18;_ordered_trend_positive;_cancer-to-adenoma_effect_negative	YES	No_verified_donor_key;_platform_incomplete_mapping;_not_cell-type-specific	M02_bulk_expression_is_higher_in_adenoma_than_normal_in_this_sample-scoped_tissue_cohort	MAIN_TEXT_WITH_PATIENT-INDEPENDENCE_LIMITATION	reports/stage_8B_bulk_validation.md;${CRC_PROJECT_ROOT}/results/08A_bulk_preprocessing/20260729_105540/GSE100179/locked_module_mapping_summary.tsv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
evidence_matrix	results/stage10h/STAGE10H_EVIDENCE_MATRIX.tsv	72fa062c98ae4796c11fef5e9747b810038d35d6f17b80aa18e1595f168788a1	E08	Stage_8B	GSE8671	32_verified_matched_patients	normal_mucosa_to_adenoma	hereditary_background_not_reported	YES	independent_bulk_accession	patient_pair	36	29	BULK_PAIRED_ADENOMA_ASSOCIATION_SUPPORT	Paired_adenoma-to-normal_effect_1.846_CI_1.666_to_2.026_FDR_4.59e-19;_all_leave-one-pair-out_directions_retained	YES	Bulk_tissue_not_epithelial-specific;_platform_incomplete_mapping;_does_not_resolve_FAP_or_sporadic_etiology	M02_bulk_expression_is_higher_in_adenoma_than_matched_normal_tissue_in_32_verified_pairs	ABSTRACT_OR_MAIN_TEXT_AS_BULK_SUPPORT	results_final/stage_8B_bulk_validation_summary.tsv;reports/stage_8B_bulk_validation.md;${CRC_PROJECT_ROOT}/results/08A_bulk_preprocessing/20260729_105540/GSE8671/locked_module_mapping_summary.tsv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
evidence_matrix	results/stage10h/STAGE10H_EVIDENCE_MATRIX.tsv	72fa062c98ae4796c11fef5e9747b810038d35d6f17b80aa18e1595f168788a1	E09	Stage_8B_meta	GSE41657;GSE100179;GSE8671	32_verified_pairs_plus_148_sample-scoped_arrays;_no_valid_pooled_patient_total	normal_to_adenoma	mixed_or_unreported_hereditary_background	mixed	three_bulk_accessions_each_counted_once	cohort-level_effect_meta-analysis	36	29_to_32	EXPLORATORY_BULK_META_SUPPORT	Random-effects_adenoma-to-normal_effect_2.113_CI_1.389_to_2.837_P_0.00628_FDR_0.0377;_I2_87.6_percent	YES	High_heterogeneity;_patient_independence_unverified_in_two_cohorts;_bulk_not_cell-type-specific;_effects_not_interchangeable_across_platforms	Across_three_separately_analyzed_bulk_cohorts_M02_was_adenoma-associated_with_substantial_heterogeneity	ABSTRACT_WITH_HETEROGENEITY_AND_MAIN_TEXT	results_final/stage_8B_meta_analysis_results.tsv;reports/stage_8B_bulk_validation.md	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
evidence_matrix	results/stage10h/STAGE10H_EVIDENCE_MATRIX.tsv	72fa062c98ae4796c11fef5e9747b810038d35d6f17b80aa18e1595f168788a1	E10	Stage_8B_auxiliary	TCGA-COAD	41_paired_patients_for_cancer-normal;_458_donors_total	primary_cancer_to_normal;_stage;_MSI;_CMS;_survival	population_CRC;_hereditary_status_not_used	YES_for_cancer-normal_subset	independent_cancer-endpoint_bulk_cohort	patient	36	34	AUXILIARY_CANCER_ENDPOINT_SUPPORT	Paired_cancer-to-normal_effect_1.821_CI_1.522_to_2.121;_no_pathologic-stage_or_overall-survival_association_after_FDR	YES	No_adenoma;_not_evidence_of_adenoma_onset;_MSI/CMS_are_context_not_progression;_not_a_biomarker_validation	M02_is_associated_with_the_cancer-versus-normal_endpoint_but_not_with_stage_or_survival_after_multiplicity_control	MAIN_TEXT_OR_SUPPLEMENTARY_AS_AUXILIARY_CANCER_CONTEXT	results_final/stage_8B_bulk_validation_summary.tsv;reports/stage_8B_bulk_validation.md	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
