section	source_file	source_sha256	check_id	component	dataset	estimand_or_check	inferential_unit	n	frozen_value	recomputed_value	absolute_difference	tolerance	status	interpretation	source	claim_id	topic	proposed_or_risky_claim	audit_decision	maximum_allowed_wording	evidence_basis	mandatory_qualifier	placement	issue_id	severity	domain	finding	evidence	risk	required_action	blocks_stage11a
numeric_reconciliation	audit/stage10i/STAGE10I_NUMERIC_RECONCILIATION.tsv	a3dcc1d660b823285bf05c13758df83ba8ab8b05b1d07cc0201c438bdf3a462a	N01	Stage6A	GSE201348	Absorptive genes with FDR<0.05	donor_pseudobulk	6_normal;8_adenoma;3_cancer	0	0	0	0	MATCH	Prespecified primary negative	audit/stage10i/recompute/STAGE6A_PRIMARY_RECOMPUTE.tsv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
numeric_reconciliation	audit/stage10i/STAGE10I_NUMERIC_RECONCILIATION.tsv	a3dcc1d660b823285bf05c13758df83ba8ab8b05b1d07cc0201c438bdf3a462a	N02	Stage6A	GSE201348	Adenoma_like genes with FDR<0.05	donor_pseudobulk	6_normal;8_adenoma;4_cancer	0	0	0	0	MATCH	Prespecified primary negative	audit/stage10i/recompute/STAGE6A_PRIMARY_RECOMPUTE.tsv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
numeric_reconciliation	audit/stage10i/STAGE10I_NUMERIC_RECONCILIATION.tsv	a3dcc1d660b823285bf05c13758df83ba8ab8b05b1d07cc0201c438bdf3a462a	N03	Stage6A	GSE201348	Cycling genes with FDR<0.05	donor_pseudobulk	6_normal;9_adenoma;4_cancer	0	0	0	0	MATCH	Prespecified primary negative	audit/stage10i/recompute/STAGE6A_PRIMARY_RECOMPUTE.tsv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
numeric_reconciliation	audit/stage10i/STAGE10I_NUMERIC_RECONCILIATION.tsv	a3dcc1d660b823285bf05c13758df83ba8ab8b05b1d07cc0201c438bdf3a462a	N04	Stage6A	GSE201348	Stem_progenitor genes with FDR<0.05	donor_pseudobulk	6_normal;9_adenoma;4_cancer	0	0	0	0	MATCH	Prespecified primary negative	audit/stage10i/recompute/STAGE6A_PRIMARY_RECOMPUTE.tsv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
numeric_reconciliation	audit/stage10i/STAGE10I_NUMERIC_RECONCILIATION.tsv	a3dcc1d660b823285bf05c13758df83ba8ab8b05b1d07cc0201c438bdf3a462a	N05	Stage10C	GSE201348	All_epithelial M02 effect	donor	4	1.27648053160379	1.27648053160379	2.44e-15	1e-10	MATCH	Trend-level internal FAP evidence	audit/stage10i/recompute/STAGE10C_FAP_M02_RECOMPUTE.tsv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
numeric_reconciliation	audit/stage10i/STAGE10I_NUMERIC_RECONCILIATION.tsv	a3dcc1d660b823285bf05c13758df83ba8ab8b05b1d07cc0201c438bdf3a462a	N06	Stage10C	GSE201348	All_epithelial M02 CI low	donor	4	0.243353678578395	0.243353678578393	2.00e-15	1e-10	MATCH	95% t interval	audit/stage10i/recompute/STAGE10C_FAP_M02_RECOMPUTE.tsv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
numeric_reconciliation	audit/stage10i/STAGE10I_NUMERIC_RECONCILIATION.tsv	a3dcc1d660b823285bf05c13758df83ba8ab8b05b1d07cc0201c438bdf3a462a	N07	Stage10C	GSE201348	All_epithelial M02 CI high	donor	4	2.30960738462918	2.30960738462918	0	1e-10	MATCH	95% t interval	audit/stage10i/recompute/STAGE10C_FAP_M02_RECOMPUTE.tsv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
numeric_reconciliation	audit/stage10i/STAGE10I_NUMERIC_RECONCILIATION.tsv	a3dcc1d660b823285bf05c13758df83ba8ab8b05b1d07cc0201c438bdf3a462a	N08	Stage10C	GSE201348	All_epithelial M02 P	donor	4	0.0292897628100523	0.0292897628100524	1.01e-16	1e-10	MATCH	Unadjusted two-sided P	audit/stage10i/recompute/STAGE10C_FAP_M02_RECOMPUTE.tsv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
numeric_reconciliation	audit/stage10i/STAGE10I_NUMERIC_RECONCILIATION.tsv	a3dcc1d660b823285bf05c13758df83ba8ab8b05b1d07cc0201c438bdf3a462a	N09	Stage10C	GSE201348	All_epithelial M02 FDR	donor	4	0.0585795256201046	0.0585795256201048	2.01e-16	1e-10	MATCH	BH across six modules in scope	audit/stage10i/recompute/STAGE10C_FAP_M02_RECOMPUTE.tsv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
numeric_reconciliation	audit/stage10i/STAGE10I_NUMERIC_RECONCILIATION.tsv	a3dcc1d660b823285bf05c13758df83ba8ab8b05b1d07cc0201c438bdf3a462a	N10	Stage10C	GSE201348	Stem_progenitor M02 effect	donor	4	0.778495488825039	0.778495488825038	5.55e-16	1e-10	MATCH	Borderline exploratory FAP evidence	audit/stage10i/recompute/STAGE10C_FAP_M02_RECOMPUTE.tsv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
