section	source_file	source_sha256	epithelial_state	genes_tested	min_p_adenoma_vs_normal	min_FDR_adenoma_vs_normal	adenoma_vs_normal_nominal_p_0_05	adenoma_vs_normal_FDR	adenoma_vs_normal_FDR_0_10	plus_abs_log2FC	plus_cancer_vs_normal_same_direction	plus_cancer_vs_normal_sustained_magnitude	plus_cancer_vs_adenoma_nonopposing_or_plateau	cancer_vs_adenoma_FDR	cancer_vs_normal_FDR	status	donors_per_stage	n_eligible_pseudobulks	donor_correlation
candidate_attrition	logs_summary/stage_6A_candidate_attrition_audit.tsv	659b54ac28a4d9055ebfdad196d96c5073458c154cdfe99e54c5590752d8dbfa	Absorptive	15472	7.16769955847022e-06	0.0866462872804574	2850	0	79	0	0	0	0	548	2958	NA	NA	NA	NA
candidate_attrition	logs_summary/stage_6A_candidate_attrition_audit.tsv	659b54ac28a4d9055ebfdad196d96c5073458c154cdfe99e54c5590752d8dbfa	Adenoma_like	4263	1.43761760743896e-05	0.0518820132803754	395	0	7	0	0	0	0	203	654	NA	NA	NA	NA
candidate_attrition	logs_summary/stage_6A_candidate_attrition_audit.tsv	659b54ac28a4d9055ebfdad196d96c5073458c154cdfe99e54c5590752d8dbfa	Cycling	12284	1.09755838730537e-05	0.0625182128621484	1973	0	16	0	0	0	0	469	2574	NA	NA	NA	NA
candidate_attrition	logs_summary/stage_6A_candidate_attrition_audit.tsv	659b54ac28a4d9055ebfdad196d96c5073458c154cdfe99e54c5590752d8dbfa	Stem_progenitor	13285	9.48832320403311e-06	0.0534421054940975	2214	0	134	0	0	0	0	1232	3321	NA	NA	NA	NA
model_fit	logs_summary/stage_6A_model_fit_audit.tsv	fea2f20a3e4db321df26e9578aaa36b42effbd460d526588e69e2b40fae7101a	Absorptive	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ok	normal=6;adenoma=8;cancer=3	17	0.248131161035565
model_fit	logs_summary/stage_6A_model_fit_audit.tsv	fea2f20a3e4db321df26e9578aaa36b42effbd460d526588e69e2b40fae7101a	Adenoma_like	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ok	normal=6;adenoma=8;cancer=4	18	0.0323818463449872
model_fit	logs_summary/stage_6A_model_fit_audit.tsv	fea2f20a3e4db321df26e9578aaa36b42effbd460d526588e69e2b40fae7101a	BEST4_positive	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	insufficient_donors	normal=6;adenoma=5;cancer=0	11	NA
model_fit	logs_summary/stage_6A_model_fit_audit.tsv	fea2f20a3e4db321df26e9578aaa36b42effbd460d526588e69e2b40fae7101a	Cycling	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ok	normal=6;adenoma=9;cancer=4	19	0.0655616723193687
model_fit	logs_summary/stage_6A_model_fit_audit.tsv	fea2f20a3e4db321df26e9578aaa36b42effbd460d526588e69e2b40fae7101a	Enteroendocrine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	insufficient_donors	normal=4;adenoma=4;cancer=0	8	NA
model_fit	logs_summary/stage_6A_model_fit_audit.tsv	fea2f20a3e4db321df26e9578aaa36b42effbd460d526588e69e2b40fae7101a	Goblet_secretory	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	insufficient_donors	normal=6;adenoma=9;cancer=2	17	NA
model_fit	logs_summary/stage_6A_model_fit_audit.tsv	fea2f20a3e4db321df26e9578aaa36b42effbd460d526588e69e2b40fae7101a	Other_uncertain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	insufficient_donors	normal=0;adenoma=0;cancer=2	2	NA
model_fit	logs_summary/stage_6A_model_fit_audit.tsv	fea2f20a3e4db321df26e9578aaa36b42effbd460d526588e69e2b40fae7101a	Stem_progenitor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ok	normal=6;adenoma=9;cancer=4	19	0.345813189110746
model_fit	logs_summary/stage_6A_model_fit_audit.tsv	fea2f20a3e4db321df26e9578aaa36b42effbd460d526588e69e2b40fae7101a	Tuft	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	insufficient_donors	normal=4;adenoma=6;cancer=0	10	NA
