section	source_file	source_sha256	module_id	epithelial_state	early_effect	early_FDR	cancer_vs_adenoma_effect	cancer_vs_normal_effect	paired_FAP_effect	paired_FAP_FDR	paired_direction_concordant	n_evaluable_LODO	LODO_sign_stability	passes_LODO	exploratory_candidate	lock_version	gene	gene_order	canonical_weight	locked_direction	score_version	primary_score_formula	historical_gse161277_score	allowed_sensitivity_score_range	primary_min_mapped_genes	sensitivity_min_mapped_genes	source_candidate_sha256	source_membership_sha256	source_modules_locked_sha256	gene_set_sha256	weighted_signature_sha256	scoring_spec_sha256	bundle_sha256	sensitivity_version	parent_score_version	parent_module	sensitivity_gene_order	canonical_weight_fraction	canonical_weight_decimal	removed_gene	role	minimum_60pct_coverage_genes	minimum_80pct_coverage_genes	missing_gene_rule	parent_primary_bundle_sha256
six_module_summary	results_final/stage_6A_exploratory_candidate_modules.tsv	d30d1127bb319b18684b2b77fdafea87847494813dc80cda7f3d33a406774d18	Cycling_SB_M01	Cycling	-1.04697392429299	0.0070524580645043	-0.672432290084725	-1.71940621437771	-0.850268224112375	0.0445785185528552	TRUE	14	1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
six_module_summary	results_final/stage_6A_exploratory_candidate_modules.tsv	d30d1127bb319b18684b2b77fdafea87847494813dc80cda7f3d33a406774d18	Cycling_SB_M02	Cycling	1.0575094860934	0.0070524580645043	0.217853200744972	1.27536268683837	1.06094596755655	0.0523326447405766	TRUE	14	1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
six_module_summary	results_final/stage_6A_exploratory_candidate_modules.tsv	d30d1127bb319b18684b2b77fdafea87847494813dc80cda7f3d33a406774d18	Stem_progenitor_SB_M02	Stem_progenitor	0.546438731152687	0.0139372833604422	0.241587098000121	0.788025829152807	0.572438974675925	0.00613441923136359	TRUE	14	1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
six_module_summary	results_final/stage_6A_exploratory_candidate_modules.tsv	d30d1127bb319b18684b2b77fdafea87847494813dc80cda7f3d33a406774d18	Stem_progenitor_SB_M10	Stem_progenitor	0.842245692657102	0.000822128018392275	-0.0540229984053811	0.788222694251721	0.804564265570309	0.00809954354352379	TRUE	14	1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
six_module_summary	results_final/stage_6A_exploratory_candidate_modules.tsv	d30d1127bb319b18684b2b77fdafea87847494813dc80cda7f3d33a406774d18	Stem_progenitor_SB_M12	Stem_progenitor	0.526840670420438	0.0228510439236979	0.216085921028096	0.742926591448534	0.612004277802268	0.00613441923136359	TRUE	14	1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
six_module_summary	results_final/stage_6A_exploratory_candidate_modules.tsv	d30d1127bb319b18684b2b77fdafea87847494813dc80cda7f3d33a406774d18	Stem_progenitor_SB_M16	Stem_progenitor	0.85566391978458	0.00012017872793997	0.689460818442434	1.54512473822701	0.757269563638407	0.00440899090368457	TRUE	14	1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M02_36_gene_lock	results/stage10c/STAGE10C_LOCK_MANIFEST.tsv	0c0ef24f027b0840aa7c174ea3d7933f9a1890f2eef7aeb0e080456add470e05	Stem_progenitor_SB_M02	Stem_progenitor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M02_LOCK_V1_20260731	ABCA13	1	0.0277777777777778	lesion_minus_normal_positive	M02_SCORE_V1	equal_weight_mean_TMM_log2CPM_prior2	equal_weight_mean_gene_z_TMM_log2CPM_prior2	equal_weight_gene_z_or_UCell_only	22	29	d30d1127bb319b18684b2b77fdafea87847494813dc80cda7f3d33a406774d18	bd99f958cd3d236854a441039a9b7212d02d4fb8f7a6795552aba4c651e9b24c	bfafb5890927a951d33a68aab1508cf35a7b995ad4906e7b7229ba22bdf9aec2	102117a11069219d9248c00e0a333b2545624bd682593deb37e7e6a239531307	2074853b94c6969cbfc18e4e7d2849b323af6d134d790d35e83f7c08cf216d8e	c8f7aa3921481c8ed5a2f156f2c7c4c70f0d92be0feda85113e04cadbcd96a1f	d4e34472243b0259650aca3123a5df7e767e9a408a409cef08861937f2360a30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M02_36_gene_lock	results/stage10c/STAGE10C_LOCK_MANIFEST.tsv	0c0ef24f027b0840aa7c174ea3d7933f9a1890f2eef7aeb0e080456add470e05	Stem_progenitor_SB_M02	Stem_progenitor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M02_LOCK_V1_20260731	AC016831.7	2	0.0277777777777778	lesion_minus_normal_positive	M02_SCORE_V1	equal_weight_mean_TMM_log2CPM_prior2	equal_weight_mean_gene_z_TMM_log2CPM_prior2	equal_weight_gene_z_or_UCell_only	22	29	d30d1127bb319b18684b2b77fdafea87847494813dc80cda7f3d33a406774d18	bd99f958cd3d236854a441039a9b7212d02d4fb8f7a6795552aba4c651e9b24c	bfafb5890927a951d33a68aab1508cf35a7b995ad4906e7b7229ba22bdf9aec2	102117a11069219d9248c00e0a333b2545624bd682593deb37e7e6a239531307	2074853b94c6969cbfc18e4e7d2849b323af6d134d790d35e83f7c08cf216d8e	c8f7aa3921481c8ed5a2f156f2c7c4c70f0d92be0feda85113e04cadbcd96a1f	d4e34472243b0259650aca3123a5df7e767e9a408a409cef08861937f2360a30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M02_36_gene_lock	results/stage10c/STAGE10C_LOCK_MANIFEST.tsv	0c0ef24f027b0840aa7c174ea3d7933f9a1890f2eef7aeb0e080456add470e05	Stem_progenitor_SB_M02	Stem_progenitor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M02_LOCK_V1_20260731	ADAMTSL2	3	0.0277777777777778	lesion_minus_normal_positive	M02_SCORE_V1	equal_weight_mean_TMM_log2CPM_prior2	equal_weight_mean_gene_z_TMM_log2CPM_prior2	equal_weight_gene_z_or_UCell_only	22	29	d30d1127bb319b18684b2b77fdafea87847494813dc80cda7f3d33a406774d18	bd99f958cd3d236854a441039a9b7212d02d4fb8f7a6795552aba4c651e9b24c	bfafb5890927a951d33a68aab1508cf35a7b995ad4906e7b7229ba22bdf9aec2	102117a11069219d9248c00e0a333b2545624bd682593deb37e7e6a239531307	2074853b94c6969cbfc18e4e7d2849b323af6d134d790d35e83f7c08cf216d8e	c8f7aa3921481c8ed5a2f156f2c7c4c70f0d92be0feda85113e04cadbcd96a1f	d4e34472243b0259650aca3123a5df7e767e9a408a409cef08861937f2360a30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M02_36_gene_lock	results/stage10c/STAGE10C_LOCK_MANIFEST.tsv	0c0ef24f027b0840aa7c174ea3d7933f9a1890f2eef7aeb0e080456add470e05	Stem_progenitor_SB_M02	Stem_progenitor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M02_LOCK_V1_20260731	AL022068.1	4	0.0277777777777778	lesion_minus_normal_positive	M02_SCORE_V1	equal_weight_mean_TMM_log2CPM_prior2	equal_weight_mean_gene_z_TMM_log2CPM_prior2	equal_weight_gene_z_or_UCell_only	22	29	d30d1127bb319b18684b2b77fdafea87847494813dc80cda7f3d33a406774d18	bd99f958cd3d236854a441039a9b7212d02d4fb8f7a6795552aba4c651e9b24c	bfafb5890927a951d33a68aab1508cf35a7b995ad4906e7b7229ba22bdf9aec2	102117a11069219d9248c00e0a333b2545624bd682593deb37e7e6a239531307	2074853b94c6969cbfc18e4e7d2849b323af6d134d790d35e83f7c08cf216d8e	c8f7aa3921481c8ed5a2f156f2c7c4c70f0d92be0feda85113e04cadbcd96a1f	d4e34472243b0259650aca3123a5df7e767e9a408a409cef08861937f2360a30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M02_36_gene_lock	results/stage10c/STAGE10C_LOCK_MANIFEST.tsv	0c0ef24f027b0840aa7c174ea3d7933f9a1890f2eef7aeb0e080456add470e05	Stem_progenitor_SB_M02	Stem_progenitor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M02_LOCK_V1_20260731	AP001636.3	5	0.0277777777777778	lesion_minus_normal_positive	M02_SCORE_V1	equal_weight_mean_TMM_log2CPM_prior2	equal_weight_mean_gene_z_TMM_log2CPM_prior2	equal_weight_gene_z_or_UCell_only	22	29	d30d1127bb319b18684b2b77fdafea87847494813dc80cda7f3d33a406774d18	bd99f958cd3d236854a441039a9b7212d02d4fb8f7a6795552aba4c651e9b24c	bfafb5890927a951d33a68aab1508cf35a7b995ad4906e7b7229ba22bdf9aec2	102117a11069219d9248c00e0a333b2545624bd682593deb37e7e6a239531307	2074853b94c6969cbfc18e4e7d2849b323af6d134d790d35e83f7c08cf216d8e	c8f7aa3921481c8ed5a2f156f2c7c4c70f0d92be0feda85113e04cadbcd96a1f	d4e34472243b0259650aca3123a5df7e767e9a408a409cef08861937f2360a30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
