section	source_file	source_sha256	accession	module_id	endpoint	analysis_set	model	effect	standard_error	ci_low	ci_high	p_value	n_units	residual_df	note	fdr	evidence_role	k_cohorts	pooled_effect	prediction_low	prediction_high	tau2	I2	Q	Q_p_value	method	caution
cohort_effects	results_final/stage_8B_bulk_validation_summary.tsv	8b2833a4bfc8568591a65b1ded08c9e843a478f2678a3eabfe3d30518e557cd1	GSE41657	Cycling_SB_M01	ordered_trend	primary_all_samples	HC3_robust_ordinal	-0.718590219117424	0.0803210946477313	-0.878263270650211	-0.558917167584638	6.32545647738897e-14	88	86	NA	1.89763694321669e-13	independent_tissue_validation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cohort_effects	results_final/stage_8B_bulk_validation_summary.tsv	8b2833a4bfc8568591a65b1ded08c9e843a478f2678a3eabfe3d30518e557cd1	GSE41657	Cycling_SB_M01	adenoma_vs_normal	primary_all_samples	HC3_robust_binary	-2.13205873601174	0.178190054227698	-2.48837177105697	-1.77574570096651	1.20205557460206e-17	63	61	NA	3.60616672380617e-17	independent_tissue_validation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cohort_effects	results_final/stage_8B_bulk_validation_summary.tsv	8b2833a4bfc8568591a65b1ded08c9e843a478f2678a3eabfe3d30518e557cd1	GSE41657	Cycling_SB_M01	cancer_vs_adenoma	primary_all_samples	HC3_robust_binary	-0.558105078593732	0.128363563727773	-0.81387506251775	-0.302335094669714	4.3236841069829e-05	76	74	NA	0.000129710523209487	independent_tissue_validation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cohort_effects	results_final/stage_8B_bulk_validation_summary.tsv	8b2833a4bfc8568591a65b1ded08c9e843a478f2678a3eabfe3d30518e557cd1	GSE41657	Cycling_SB_M01	cancer_vs_normal	primary_all_samples	HC3_robust_binary	-2.69016381460547	0.184263743465337	-3.06423910110354	-2.31608852810741	1.86946668835015e-16	37	35	NA	5.60840006505046e-16	independent_tissue_validation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cohort_effects	results_final/stage_8B_bulk_validation_summary.tsv	8b2833a4bfc8568591a65b1ded08c9e843a478f2678a3eabfe3d30518e557cd1	GSE41657	Cycling_SB_M01	low_grade_adenoma_vs_normal	primary_all_samples	HC3_robust_adjacent	-2.04621212406623	0.203294163731336	-2.4608333045702	-1.63159094356226	2.74292597275586e-11	33	31	NA	8.22877791826757e-11	independent_tissue_validation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cohort_effects	results_final/stage_8B_bulk_validation_summary.tsv	8b2833a4bfc8568591a65b1ded08c9e843a478f2678a3eabfe3d30518e557cd1	GSE41657	Cycling_SB_M01	high_grade_adenoma_vs_low_grade_adenoma	primary_all_samples	HC3_robust_adjacent	-0.145939240307372	0.172250978259626	-0.492090540789203	0.200212060174459	0.400976441725344	51	49	NA	0.400976441725344	independent_tissue_validation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cohort_effects	results_final/stage_8B_bulk_validation_summary.tsv	8b2833a4bfc8568591a65b1ded08c9e843a478f2678a3eabfe3d30518e557cd1	GSE41657	Cycling_SB_M01	cancer_vs_high_grade_adenoma	primary_all_samples	HC3_robust_adjacent	-0.498012450231873	0.149315135401721	-0.79750068510422	-0.198524215359526	0.00156126947094477	55	53	NA	0.00312253894188953	independent_tissue_validation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cohort_effects	results_final/stage_8B_bulk_validation_summary.tsv	8b2833a4bfc8568591a65b1ded08c9e843a478f2678a3eabfe3d30518e557cd1	GSE41657	Stem_progenitor_SB_M10	ordered_trend	primary_all_samples	HC3_robust_ordinal	0.569199241942913	0.0825982933853811	0.404999269145147	0.733399214740678	8.68373516373879e-10	88	86	NA	1.30256027456082e-09	independent_tissue_validation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cohort_effects	results_final/stage_8B_bulk_validation_summary.tsv	8b2833a4bfc8568591a65b1ded08c9e843a478f2678a3eabfe3d30518e557cd1	GSE41657	Stem_progenitor_SB_M10	adenoma_vs_normal	primary_all_samples	HC3_robust_binary	1.47068905976966	0.245761798753112	0.979257970692152	1.96212014884716	1.24247225653904e-07	63	61	NA	2.48494451307808e-07	independent_tissue_validation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cohort_effects	results_final/stage_8B_bulk_validation_summary.tsv	8b2833a4bfc8568591a65b1ded08c9e843a478f2678a3eabfe3d30518e557cd1	GSE41657	Stem_progenitor_SB_M10	cancer_vs_adenoma	primary_all_samples	HC3_robust_binary	0.44964179369946	0.191088855294548	0.0688889380807374	0.830394649318182	0.0212794935899064	76	74	NA	0.0255353923078877	independent_tissue_validation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cohort_effects	results_final/stage_8B_bulk_validation_summary.tsv	8b2833a4bfc8568591a65b1ded08c9e843a478f2678a3eabfe3d30518e557cd1	GSE41657	Stem_progenitor_SB_M10	cancer_vs_normal	primary_all_samples	HC3_robust_binary	1.92033085346911	0.256370262823038	1.39987155034444	2.44079015659379	8.99616528514054e-09	37	35	NA	1.34942479277108e-08	independent_tissue_validation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cohort_effects	results_final/stage_8B_bulk_validation_summary.tsv	8b2833a4bfc8568591a65b1ded08c9e843a478f2678a3eabfe3d30518e557cd1	GSE41657	Stem_progenitor_SB_M10	low_grade_adenoma_vs_normal	primary_all_samples	HC3_robust_adjacent	1.19278122984689	0.270815747187239	0.640448871962623	1.74511358773115	0.000117389612018933	33	31	NA	0.000176084418028399	independent_tissue_validation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cohort_effects	results_final/stage_8B_bulk_validation_summary.tsv	8b2833a4bfc8568591a65b1ded08c9e843a478f2678a3eabfe3d30518e557cd1	GSE41657	Stem_progenitor_SB_M10	high_grade_adenoma_vs_low_grade_adenoma	primary_all_samples	HC3_robust_adjacent	0.472443310868704	0.240916921479854	-0.01169736874262	0.956583990480029	0.0555728245480141	51	49	NA	0.155389170773967	independent_tissue_validation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cohort_effects	results_final/stage_8B_bulk_validation_summary.tsv	8b2833a4bfc8568591a65b1ded08c9e843a478f2678a3eabfe3d30518e557cd1	GSE41657	Stem_progenitor_SB_M10	cancer_vs_high_grade_adenoma	primary_all_samples	HC3_robust_adjacent	0.255106312753522	0.224556241932174	-0.195296470225567	0.705509095732611	0.261048119368488	55	53	NA	0.261048119368488	independent_tissue_validation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cohort_effects	results_final/stage_8B_bulk_validation_summary.tsv	8b2833a4bfc8568591a65b1ded08c9e843a478f2678a3eabfe3d30518e557cd1	GSE41657	Stem_progenitor_SB_M02	ordered_trend	primary_all_samples	HC3_robust_ordinal	0.563730186418585	0.0976204594350659	0.369667135878849	0.757793236958321	1.19913595316518e-07	88	86	NA	1.43896314379822e-07	independent_tissue_validation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cohort_effects	results_final/stage_8B_bulk_validation_summary.tsv	8b2833a4bfc8568591a65b1ded08c9e843a478f2678a3eabfe3d30518e557cd1	GSE41657	Stem_progenitor_SB_M02	adenoma_vs_normal	primary_all_samples	HC3_robust_binary	2.42013042055188	0.102708627819666	2.21475182598121	2.62550901512255	2.48332626808588e-32	63	61	NA	1.48999576085153e-31	independent_tissue_validation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
