section	source_file	source_sha256	scenario_id	mapped36	mapped35	primary_36of36	sensitivity_29of36	sensitivity_35gene_80pct	status	record_type	qc_mode	annotation_source	compartment	min_cells	scenario_role	score_method	score_role	patient_id	lesion_sample	normal_sample	lesion_score	normal_score	effect_lesion_minus_normal	direction_positive	k_positive	n_pairs	descriptive_mean_effect	ci_lower	ci_upper	p_value	fdr	inferential_unit	reason	P1_effect	P5_effect
gene_coverage	results/stage10c3/STAGE10C3_GENE_COVERAGE.tsv	0009a305dff96e9ed966006867fee1f5eb911bd827755627552f2aba0dd5faa7	PRIMARY_ALL_EPI_MIN50	33	32	FALSE	TRUE	TRUE	SENSITIVITY_ONLY_PRIMARY_NOT_ESTIMABLE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene_coverage	results/stage10c3/STAGE10C3_GENE_COVERAGE.tsv	0009a305dff96e9ed966006867fee1f5eb911bd827755627552f2aba0dd5faa7	CELL_MIN25_SENS	33	32	FALSE	TRUE	TRUE	SENSITIVITY_ONLY_PRIMARY_NOT_ESTIMABLE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene_coverage	results/stage10c3/STAGE10C3_GENE_COVERAGE.tsv	0009a305dff96e9ed966006867fee1f5eb911bd827755627552f2aba0dd5faa7	CELL_MIN100_SENS	33	32	FALSE	TRUE	TRUE	SENSITIVITY_ONLY_PRIMARY_NOT_ESTIMABLE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene_coverage	results/stage10c3/STAGE10C3_GENE_COVERAGE.tsv	0009a305dff96e9ed966006867fee1f5eb911bd827755627552f2aba0dd5faa7	DEPOSIT_QC_SENS	33	32	FALSE	TRUE	TRUE	SENSITIVITY_ONLY_PRIMARY_NOT_ESTIMABLE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene_coverage	results/stage10c3/STAGE10C3_GENE_COVERAGE.tsv	0009a305dff96e9ed966006867fee1f5eb911bd827755627552f2aba0dd5faa7	STEM_PROGENITOR_SECONDARY	33	32	FALSE	TRUE	TRUE	SENSITIVITY_ONLY_PRIMARY_NOT_ESTIMABLE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
matched_pair_effects	results/stage10c3/STAGE10C3_MATCHED_PAIR_EFFECTS.tsv	7589a26142d443a56a803e5eed7eedecf65bb02005846309145d8c07907afb62	PRIMARY_ALL_EPI_MIN50	NA	NA	NA	NA	NA	NOT_ESTIMABLE	individual_patient_effect	primary_qc	independent_broad_annotation	all_epithelial	50	primary	M02_SCORE_V1	primary	P1	P1_L	P1_N	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	patient	required matched sample score unavailable	NA	NA
matched_pair_effects	results/stage10c3/STAGE10C3_MATCHED_PAIR_EFFECTS.tsv	7589a26142d443a56a803e5eed7eedecf65bb02005846309145d8c07907afb62	PRIMARY_ALL_EPI_MIN50	NA	NA	NA	NA	NA	NOT_ESTIMABLE	individual_patient_effect	primary_qc	independent_broad_annotation	all_epithelial	50	primary	M02_SCORE_V1	primary	P5	P5_L	P5_N	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	patient	required matched sample score unavailable	NA	NA
matched_pair_effects	results/stage10c3/STAGE10C3_MATCHED_PAIR_EFFECTS.tsv	7589a26142d443a56a803e5eed7eedecf65bb02005846309145d8c07907afb62	PRIMARY_ALL_EPI_MIN50	NA	NA	NA	NA	NA	NOT_ESTIMABLE	direction_summary	primary_qc	independent_broad_annotation	all_epithelial	50	primary	M02_SCORE_V1	primary	P1+P5	P1_L;P5_L	P1_N;P5_N	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	patient	two directional patient effects; no population inference	NA	NA
matched_pair_effects	results/stage10c3/STAGE10C3_MATCHED_PAIR_EFFECTS.tsv	7589a26142d443a56a803e5eed7eedecf65bb02005846309145d8c07907afb62	PRIMARY_ALL_EPI_MIN50	NA	NA	NA	NA	NA	ESTIMABLE	individual_patient_effect	primary_qc	independent_broad_annotation	all_epithelial	50	primary	M02_29OF36_COVERAGE_SENS	coverage_sensitivity	P1	P1_L	P1_N	3.39334282086483	0.891631280066224	2.50171154079861	TRUE	NA	1	NA	NA	NA	NA	NA	patient	individual matched-patient directional effect; no population inference	NA	NA
matched_pair_effects	results/stage10c3/STAGE10C3_MATCHED_PAIR_EFFECTS.tsv	7589a26142d443a56a803e5eed7eedecf65bb02005846309145d8c07907afb62	PRIMARY_ALL_EPI_MIN50	NA	NA	NA	NA	NA	ESTIMABLE	individual_patient_effect	primary_qc	independent_broad_annotation	all_epithelial	50	primary	M02_29OF36_COVERAGE_SENS	coverage_sensitivity	P5	P5_L	P5_N	3.31630540930803	1.0526526116919	2.26365279761613	TRUE	NA	1	NA	NA	NA	NA	NA	patient	individual matched-patient directional effect; no population inference	NA	NA
